Created as New Dataset,Sample 114 By Administrator Date Thursday, July 30 2020
cm-1,A,
2598,0.5792,
2596,0.5378,
2594,0.4691,
2592,0.3971,
2590,0.3374,
2588,0.2931,
2586,0.2606,
2584,0.236,
2582,0.2169,
2580,0.2031,
2578,0.1949,
2576,0.1915,
2574,0.1887,
2572,0.1822,
2570,0.1727,
2568,0.1639,
2566,0.1581,
2564,0.1555,
2562,0.1564,
2560,0.1614,
2558,0.172,
2556,0.1873,
2554,0.2013,
2552,0.2039,
2550,0.1925,
2548,0.1754,
2546,0.1606,
2544,0.1512,
2542,0.1466,
2540,0.1459,
2538,0.1482,
2536,0.1515,
2534,0.1525,
2532,0.1493,
2530,0.1437,
2528,0.1386,
2526,0.1359,
2524,0.1355,
2522,0.1363,
2520,0.1369,
2518,0.1374,
2516,0.1389,
2514,0.1422,
2512,0.1473,
2510,0.1528,
2508,0.1557,
2506,0.1542,
2504,0.1486,
2502,0.1413,
2500,0.1345,
2498,0.1298,
2496,0.1271,
2494,0.1262,
2492,0.127,
2490,0.1294,
2488,0.134,
2486,0.1419,
2484,0.1552,
2482,0.1773,
2480,0.2064,
2478,0.2276,
2476,0.2246,
2474,0.203,
2472,0.1788,
2470,0.1598,
2468,0.1466,
2466,0.1374,
2464,0.131,
2462,0.1266,
2460,0.1237,
2458,0.1219,
2456,0.1207,
2454,0.1198,
2452,0.119,
2450,0.1185,
2448,0.1186,
2446,0.1195,
2444,0.1216,
2442,0.1251,
2440,0.1304,
2438,0.136,
2436,0.1397,
2434,0.1401,
2432,0.1385,
2430,0.1373,
2428,0.1383,
2426,0.1422,
2424,0.1481,
2422,0.1545,
2420,0.1628,
2418,0.176,
2416,0.1925,
2414,0.2045,
2412,0.2062,
2410,0.1999,
2408,0.1889,
2406,0.1761,
2404,0.1667,
2402,0.1649,
2400,0.1731,
2398,0.19,
2396,0.2041,
2394,0.2014,
2392,0.1851,
2390,0.1685,
2388,0.1576,
2386,0.1523,
2384,0.1517,
2382,0.1564,
2380,0.1665,
2378,0.1763,
2376,0.1743,
2374,0.1588,
2372,0.1434,
2370,0.1425,
2368,0.1571,
2366,0.1685,
2364,0.16,
2362,0.1412,
2360,0.127,
2358,0.121,
2356,0.1205,
2354,0.1232,
2352,0.1296,
2350,0.1329,
2348,0.1226,
2346,0.1034,
2344,0.0947,
2342,0.0981,
2340,0.0996,
2338,0.0992,
2336,0.0991,
2334,0.0975,
2332,0.095,
2330,0.0953,
2328,0.0977,
2326,0.0975,
2324,0.0934,
2322,0.0895,
2320,0.0896,
2318,0.092,
2316,0.0949,
2314,0.0988,
2312,0.1063,
2310,0.1198,
2308,0.1412,
2306,0.1651,
2304,0.175,
2302,0.1645,
2300,0.1474,
2298,0.1345,
2296,0.1276,
2294,0.1253,
2292,0.1263,
2290,0.13,
2288,0.1361,
2286,0.144,
2284,0.1502,
2282,0.1501,
2280,0.1439,
2278,0.1359,
2276,0.1294,
2274,0.1249,
2272,0.1223,
2270,0.121,
2268,0.121,
2266,0.1223,
2264,0.125,
2262,0.1294,
2260,0.1358,
2258,0.145,
2256,0.1576,
2254,0.1741,
2252,0.1936,
2250,0.2115,
2248,0.2196,
2246,0.2127,
2244,0.1964,
2242,0.1799,
2240,0.1685,
2238,0.1631,
2236,0.1632,
2234,0.1674,
2232,0.1721,
2230,0.1721,
2228,0.1656,
2226,0.157,
2224,0.1513,
2222,0.1481,
2220,0.1443,
2218,0.1401,
2216,0.1383,
2214,0.14,
2212,0.1452,
2210,0.1535,
2208,0.1641,
2206,0.1726,
2204,0.173,
2202,0.1656,
2200,0.1568,
2198,0.1508,
2196,0.1475,
2194,0.1453,
2192,0.1443,
2190,0.1452,
2188,0.1488,
2186,0.1564,
2184,0.1701,
2182,0.1901,
2180,0.2103,
2178,0.2186,
2176,0.2113,
2174,0.1978,
2172,0.1868,
2170,0.1789,
2168,0.1709,
2166,0.1609,
2164,0.1504,
2162,0.1414,
2160,0.1355,
2158,0.1334,
2156,0.1364,
2154,0.1451,
2152,0.1553,
2150,0.1588,
2148,0.1547,
2146,0.1505,
2144,0.1537,
2142,0.1691,
2140,0.1951,
2138,0.2124,
2136,0.2032,
2134,0.1803,
2132,0.1631,
2130,0.1561,
2128,0.1551,
2126,0.1522,
2124,0.1439,
2122,0.1333,
2120,0.1243,
2118,0.1178,
2116,0.1135,
2114,0.1105,
2112,0.1083,
2110,0.1064,
2108,0.1048,
2106,0.1034,
2104,0.1023,
2102,0.1013,
2100,0.1005,
2098,0.1,
2096,0.0996,
2094,0.0993,
2092,0.0989,
2090,0.0986,
2088,0.0985,
2086,0.0985,
2084,0.0986,
2082,0.0989,
2080,0.0995,
2078,0.1004,
2076,0.1019,
2074,0.1041,
2072,0.1074,
2070,0.1125,
2068,0.1197,
2066,0.1281,
2064,0.141,
2062,0.1608,
2060,0.1752,
2058,0.1686,
2056,0.1489,
2054,0.1318,
2052,0.1213,
2050,0.1156,
2048,0.1135,
2046,0.1143,
2044,0.1167,
2042,0.1179,
2040,0.116,
2038,0.1121,
2036,0.1083,
2034,0.1054,
2032,0.1035,
2030,0.1024,
2028,0.102,
2026,0.1024,
2024,0.1038,
2022,0.106,
2020,0.1082,
2018,0.1092,
2016,0.1086,
2014,0.1072,
2012,0.1059,
2010,0.1052,
2008,0.105,
2006,0.1057,
2004,0.1073,
2002,0.1103,
2000,0.1159,
1998,0.1266,
1996,0.1425,
1994,0.1597,
1992,0.1795,
1990,0.1959,
1988,0.1955,
1986,0.1775,
1984,0.1537,
1982,0.1344,
1980,0.1219,
1978,0.1142,
1976,0.1093,
1974,0.1062,
1972,0.1041,
1970,0.1026,
1968,0.1017,
1966,0.1015,
1964,0.1015,
1962,0.1009,
1960,0.1,
1958,0.099,
1956,0.0983,
1954,0.0982,
1952,0.0983,
1950,0.0985,
1948,0.0988,
1946,0.0991,
1944,0.0996,
1942,0.1007,
1940,0.1024,
1938,0.1042,
1936,0.107,
1934,0.1106,
1932,0.1137,
1930,0.1147,
1928,0.1136,
1926,0.1114,
1924,0.1094,
1922,0.1084,
1920,0.1075,
1918,0.1056,
1916,0.1041,
1914,0.1019,
1912,0.1002,
1910,0.0992,
1908,0.0987,
1906,0.0986,
