Wavenumber (cm-1),% Transmittance
3733.85687,0.63471
3733.37471,0.63606
3732.89254,0.6242
3732.41038,0.61334
3731.92822,0.6138
3731.44606,0.61862
3730.9639,0.62812
3730.48174,0.62981
3729.99958,0.63022
3729.51742,0.63556
3729.03525,0.6315
3728.55309,0.63022
3728.07093,0.62828
3727.58877,0.6113
3727.10661,0.60285
3726.62445,0.60594
3726.14229,0.61081
3725.66013,0.62304
3725.17796,0.62733
3724.6958,0.63143
3724.21364,0.64745
3723.73148,0.64644
3723.24932,0.63301
3722.76716,0.63172
3722.285,0.6338
3721.80284,0.64782
3721.32067,0.67462
3720.83851,0.68394
3720.35635,0.68406
3719.87419,0.692
3719.39203,0.69256
3718.90987,0.69671
3718.42771,0.71856
3717.94555,0.73424
3717.46338,0.73992
3716.98122,0.75326
3716.49906,0.76787
3716.0169,0.77317
3715.53474,0.77573
3715.05258,0.78084
3714.57042,0.78176
3714.08826,0.76931
3713.60609,0.74445
3713.12393,0.70886
3712.64177,0.66673
3712.15961,0.65207
3711.67745,0.67757
3711.19529,0.69924
3710.71313,0.68707
3710.23097,0.66463
3709.7488,0.65954
3709.26664,0.65901
3708.78448,0.66274
3708.30232,0.68567
3707.82016,0.69752
3707.338,0.68022
3706.85584,0.6767
3706.37367,0.69306
3705.89151,0.6843
3705.40935,0.66605
3704.92719,0.6804
3704.44503,0.69358
3703.96287,0.67326
3703.48071,0.66331
3702.99855,0.67678
3702.51638,0.66361
3702.03422,0.63634
3701.55206,0.65546
3701.0699,0.68948
3700.58774,0.68296
3700.10558,0.66959
3699.62342,0.69085
3699.14126,0.70659
3698.65909,0.68771
3698.17693,0.68143
3697.69477,0.70574
3697.21261,0.70989
3696.73045,0.68745
3696.24829,0.6913
3695.76613,0.71848
3695.28397,0.71711
3694.8018,0.69631
3694.31964,0.70476
3693.83748,0.72836
3693.35532,0.72189
3692.87316,0.69983
3692.391,0.69563
3691.90884,0.69353
3691.42668,0.67593
3690.94451,0.67404
3690.46235,0.70518
3689.98019,0.7303
3689.49803,0.71175
3689.01587,0.6731
3688.53371,0.67895
3688.05155,0.71593
3687.56939,0.72946
3687.08722,0.73176
3686.60506,0.75085
3686.1229,0.77041
3685.64074,0.76573
3685.15858,0.75396
3684.67642,0.76259
3684.19426,0.77928
3683.7121,0.77816
3683.22993,0.76855
3682.74777,0.77404
3682.26561,0.78804
3681.78345,0.78808
3681.30129,0.77698
3680.81913,0.77315
3680.33697,0.7744
3679.85481,0.7691
3679.37264,0.76436
3678.89048,0.77172
3678.40832,0.78419
3677.92616,0.78635
3677.444,0.76985
3676.96184,0.73664
3676.47968,0.70267
3675.99751,0.68595
3675.51535,0.68413
3675.03319,0.70146
3674.55103,0.74
3674.06887,0.7767
3673.58671,0.79498
3673.10455,0.79869
3672.62239,0.79785
3672.14022,0.78928
3671.65806,0.76106
3671.1759,0.72745
3670.69374,0.72863
3670.21158,0.75307
3669.72942,0.76179
3669.24726,0.7565
3668.7651,0.76314
3668.28293,0.78397
3667.80077,0.80234
3667.31861,0.81146
3666.83645,0.81366
3666.35429,0.81381
3665.87213,0.8153
3665.38997,0.81728
3664.90781,0.81767
3664.42564,0.81685
3663.94348,0.81674
3663.46132,0.81778
3662.97916,0.8184
3662.497,0.81775
3662.01484,0.81696
3661.53268,0.81721
3661.05052,0.81754
3660.56835,0.81666
3660.08619,0.81556
3659.60403,0.81565
3659.12187,0.81652
3658.63971,0.81659
3658.15755,0.81374
3657.67539,0.80203
3657.19323,0.77645
3656.71106,0.75358
3656.2289,0.75957
3655.74674,0.78276
3655.26458,0.79996
3654.78242,0.80836
3654.30026,0.81176
3653.8181,0.81201
3653.33594,0.81028
3652.85377,0.80472
3652.37161,0.78915
3651.88945,0.76343
3651.40729,0.74255
3650.92513,0.73851
3650.44297,0.7367
3649.96081,0.7231
3649.47865,0.71944
3648.99648,0.7387
3648.51432,0.74935
3648.03216,0.73985
3647.55,0.73352
3647.06784,0.7456
3646.58568,0.76548
3646.10352,0.78106
3645.62136,0.78974
3645.13919,0.79373
3644.65703,0.79481
3644.17487,0.79326
3643.69271,0.78979
3643.21055,0.78494
3642.72839,0.78062
3642.24623,0.77855
3641.76406,0.77771
3641.2819,0.77689
3640.79974,0.77475
3640.31758,0.77147
3639.83542,0.76758
3639.35326,0.76259
3638.8711,0.75595
3638.38894,0.74988
3637.90677,0.74771
3637.42461,0.74594
3636.94245,0.74336
3636.46029,0.7401
3635.97813,0.73512
3635.49597,0.72999
3635.01381,0.71851
3634.53165,0.70284
3634.04948,0.69405
3633.56732,0.69501
3633.08516,0.70153
3632.603,0.7019
3632.12084,0.69826
3631.63868,0.69431
3631.15652,0.68021
3630.67436,0.65583
3630.19219,0.62269
3629.71003,0.59702
3629.22787,0.59094
3628.74571,0.59071
3628.26355,0.61202
3627.78139,0.6461
3627.29923,0.65753
3626.81707,0.65987
3626.3349,0.66594
3625.85274,0.66529
3625.37058,0.67011
3624.88842,0.67608
3624.40626,0.67166
3623.9241,0.67441
3623.44194,0.6778
3622.95978,0.67362
3622.47761,0.6789
3621.99545,0.68118
3621.51329,0.67456
3621.03113,0.6785
3620.54897,0.67841
3620.06681,0.66898
3619.58465,0.67778
3619.10249,0.68765
3618.62032,0.67932
3618.13816,0.67867
3617.656,0.6927
3617.17384,0.70583
3616.69168,0.72058
3616.20952,0.7323
3615.72736,0.73103
3615.2452,0.72891
3614.76303,0.73707
3614.28087,0.7471
3613.79871,0.74782
3613.31655,0.73889
3612.83439,0.73363
3612.35223,0.73893
3611.87007,0.74585
3611.3879,0.75103
3610.90574,0.74835
3610.42358,0.72561
3609.94142,0.69528
3609.45926,0.68534
3608.9771,0.6897
3608.49494,0.69208
3608.01278,0.69483
3607.53061,0.68926
3607.04845,0.67789
3606.56629,0.68575
3606.08413,0.70197
3605.60197,0.69663
3605.11981,0.68672
3604.63765,0.69584
3604.15549,0.69751
3603.67332,0.68095
3603.19116,0.68007
3602.709,0.69118
3602.22684,0.67968
3601.74468,0.66235
3601.26252,0.67025
3600.78036,0.67742
3600.2982,0.66529
3599.81603,0.66689
3599.33387,0.68291
3598.85171,0.67668
3598.36955,0.66224
3597.88739,0.67437
3597.40523,0.68872
3596.92307,0.67541
3596.44091,0.66106
3595.95874,0.66837
3595.47658,0.67189
3594.99442,0.66222
3594.51226,0.66702
3594.0301,0.68228
3593.54794,0.67801
3593.06578,0.66719
3592.58362,0.68059
3592.10145,0.7002
3591.61929,0.6958
3591.13713,0.68521
3590.65497,0.6953
3590.17281,0.70448
3589.69065,0.68476
3589.20849,0.66128
