Wavenumber (cm-1),% Transmittance
3779.59013,0.81571
3779.10798,0.82915
3778.62582,0.84208
3778.14367,0.84921
3777.66152,0.85363
3777.17937,0.85641
3776.69722,0.85773
3776.21506,0.85829
3775.73291,0.85856
3775.25076,0.85855
3774.76861,0.85831
3774.28645,0.8581
3773.8043,0.85812
3773.32215,0.858
3772.84,0.85702
3772.35785,0.85494
3771.87569,0.85195
3771.39354,0.84547
3770.91139,0.82997
3770.42924,0.80935
3769.94709,0.80567
3769.46493,0.82255
3768.98278,0.83903
3768.50063,0.84826
3768.01848,0.85236
3767.53633,0.85231
3767.05417,0.84584
3766.57202,0.83112
3766.08987,0.8185
3765.60772,0.82325
3765.12557,0.83712
3764.64341,0.84674
3764.16126,0.85124
3763.67911,0.85311
3763.19696,0.85341
3762.7148,0.85319
3762.23265,0.85349
3761.7505,0.85311
3761.26835,0.84779
3760.7862,0.83281
3760.30404,0.81225
3759.82189,0.80424
3759.33974,0.8153
3758.85759,0.83119
3758.37544,0.8416
3757.89328,0.84215
3757.41113,0.83249
3756.92898,0.82331
3756.44683,0.82767
3755.96468,0.83879
3755.48252,0.84591
3755.00037,0.84711
3754.51822,0.84307
3754.03607,0.83497
3753.55392,0.82094
3753.07176,0.79648
3752.58961,0.76937
3752.10746,0.7711
3751.62531,0.792
3751.14315,0.80467
3750.661,0.80172
3750.17885,0.78304
3749.6967,0.76592
3749.21455,0.78316
3748.73239,0.80969
3748.25024,0.8225
3747.76809,0.82674
3747.28594,0.83
3746.80379,0.83082
3746.32163,0.82286
3745.83948,0.80131
3745.35733,0.76153
3744.87518,0.71396
3744.39303,0.72647
3743.91087,0.78067
3743.42872,0.81855
3742.94657,0.83628
3742.46442,0.83924
3741.98227,0.83197
3741.50011,0.82481
3741.01796,0.82798
3740.53581,0.83737
3740.05366,0.84364
3739.57151,0.84152
3739.08935,0.83181
3738.6072,0.82409
3738.12505,0.82228
3737.6429,0.81539
3737.16074,0.80184
3736.67859,0.79422
3736.19644,0.78681
3735.71429,0.76871
3735.23214,0.75601
3734.74998,0.77152
3734.26783,0.80127
3733.78568,0.81992
3733.30353,0.81818
3732.82138,0.80041
3732.33922,0.7898
3731.85707,0.80549
3731.37492,0.826
3730.89277,0.83782
3730.41062,0.84354
3729.92846,0.84731
3729.44631,0.84986
3728.96416,0.84954
3728.48201,0.84612
3727.99986,0.83986
3727.5177,0.82925
3727.03555,0.8185
3726.5534,0.81786
3726.07125,0.8229
3725.58909,0.82407
3725.10694,0.82569
3724.62479,0.83244
3724.14264,0.83804
3723.66049,0.83491
3723.17833,0.82163
3722.69618,0.80758
3722.21403,0.80941
3721.73188,0.82534
3721.24973,0.83921
3720.76757,0.84511
3720.28542,0.84386
3719.80327,0.83644
3719.32112,0.82943
3718.83897,0.8324
3718.35681,0.84184
3717.87466,0.84874
3717.39251,0.85166
3716.91036,0.85264
3716.42821,0.85269
3715.94605,0.85043
3715.4639,0.84542
3714.98175,0.84245
3714.4996,0.84392
3714.01745,0.84274
3713.53529,0.83085
3713.05314,0.80631
3712.57099,0.78081
3712.08884,0.78124
3711.60668,0.80058
3711.12453,0.8165
3710.64238,0.82033
3710.16023,0.8099
3709.67808,0.80003
3709.19592,0.81029
3708.71377,0.8294
3708.23162,0.84247
3707.74947,0.84831
3707.26732,0.84955
3706.78516,0.84927
3706.30301,0.8487
3705.82086,0.8479
3705.33871,0.84814
3704.85656,0.84959
3704.3744,0.85023
3703.89225,0.84872
3703.4101,0.84435
3702.92795,0.83326
3702.4458,0.81429
3701.96364,0.80375
3701.48149,0.81577
3700.99934,0.83314
3700.51719,0.84243
3700.03503,0.84588
3699.55288,0.84796
3699.07073,0.84928
3698.58858,0.84937
3698.10643,0.84929
3697.62427,0.84884
3697.14212,0.84681
3696.65997,0.84543
3696.17782,0.84721
3695.69567,0.84968
3695.21351,0.84995
3694.73136,0.84875
3694.24921,0.84785
3693.76706,0.8476
3693.28491,0.84678
3692.80275,0.84222
3692.3206,0.82874
3691.83845,0.8067
3691.3563,0.79308
3690.87415,0.80085
3690.39199,0.81505
3689.90984,0.81916
3689.42769,0.80724
3688.94554,0.78556
3688.46339,0.78342
3687.98123,0.8068
3687.49908,0.82759
3687.01693,0.83952
3686.53478,0.84615
3686.05262,0.84944
3685.57047,0.84943
3685.08832,0.84768
3684.60617,0.84742
3684.12402,0.84925
3683.64186,0.85089
3683.15971,0.85154
3682.67756,0.85182
3682.19541,0.85177
3681.71326,0.8506
3681.2311,0.84751
3680.74895,0.84088
3680.2668,0.82928
3679.78465,0.81963
3679.3025,0.82251
3678.82034,0.83128
3678.33819,0.83342
3677.85604,0.82783
3677.37389,0.8167
3676.89174,0.79665
3676.40958,0.76578
3675.92743,0.7377
3675.44528,0.73039
3674.96313,0.7511
3674.48097,0.78734
3673.99882,0.81691
3673.51667,0.8335
3673.03452,0.83985
3672.55237,0.83844
3672.07021,0.82788
3671.58806,0.80586
3671.10591,0.78142
3670.62376,0.78188
3670.14161,0.79632
3669.65945,0.79798
3669.1773,0.79313
3668.69515,0.80324
3668.213,0.82381
3667.73085,0.83861
3667.24869,0.84578
3666.76654,0.84861
3666.28439,0.84958
3665.80224,0.85017
3665.32009,0.85076
3664.83793,0.85113
3664.35578,0.85125
3663.87363,0.85121
3663.39148,0.8511
3662.90932,0.85088
3662.42717,0.85048
3661.94502,0.8501
3661.46287,0.84986
3660.98072,0.84906
3660.49856,0.84729
3660.01641,0.84599
3659.53426,0.84622
3659.05211,0.84673
3658.56996,0.84583
3658.0878,0.84193
3657.60565,0.83152
3657.1235,0.81164
3656.64135,0.79286
3656.1592,0.79778
3655.67704,0.8164
3655.19489,0.82947
3654.71274,0.83536
3654.23059,0.83704
3653.74844,0.8361
3653.26628,0.83345
3652.78413,0.82751
3652.30198,0.8126
3651.81983,0.78644
3651.33768,0.76174
3650.85552,0.75579
3650.37337,0.75767
3649.89122,0.7524
3649.40907,0.75383
3648.92691,0.76944
3648.44476,0.77377
3647.96261,0.76001
3647.48046,0.75018
3646.99831,0.76405
3646.51615,0.78829
3646.034,0.80763
3645.55185,0.81948
3645.0697,0.82648
3644.58755,0.83043
3644.10539,0.83156
3643.62324,0.83026
3643.14109,0.82791
3642.65894,0.82684
3642.17679,0.82858
3641.69463,0.83255
3641.21248,0.83661
3640.73033,0.83914
3640.24818,0.84068
3639.76603,0.84197
3639.28387,0.84148
3638.80172,0.83843
3638.31957,0.83657
3637.83742,0.83919
3637.35526,0.8436
3636.87311,0.84662
3636.39096,0.84799
3635.90881,0.84814
3635.42666,0.8464
3634.9445,0.83946
3634.46235,0.8277
3633.9802,0.82243
3633.49805,0.82967
3633.0159,0.83916
3632.53374,0.84408
3632.05159,0.8445
3631.56944,0.8403
3631.08729,0.83085
3630.60514,0.81408
3630.12298,0.7884
3629.64083,0.7639
3629.15868,0.75274
3628.67653,0.7593
3628.19438,0.78728
3627.71222,0.81483
3627.23007,0.82706
3626.74792,0.82909
3626.26577,0.83105
3625.78362,0.83606
3625.30146,0.84081
3624.81931,0.84318
3624.33716,0.84313
3623.85501,0.84185
3623.37285,0.84082
3622.8907,0.84029
3622.40855,0.83803
3621.9264,0.8318
3621.44425,0.82482
3620.96209,0.81834
3620.47994,0.80568
3619.99779,0.79149
3619.51564,0.7949
3619.03349,0.80548
3618.55133,0.80392
3618.06918,0.79912
3617.58703,0.80831
3617.10488,0.8248
3616.62273,0.83477
3616.14057,0.83541
3615.65842,0.82847
3615.17627,0.81953
3614.69412,0.81855
3614.21197,0.82473
3613.72981,0.82374
3613.24766,0.81153
3612.76551,0.80543
3612.28336,0.81824
3611.8012,0.8351
3611.31905,0.84468
3610.8369,0.84589
3610.35475,0.83691
3609.8726,0.81971
3609.39044,0.81177
3608.90829,0.8229
3608.42614,0.83244
3607.94399,0.8283
3607.46184,0.81968
3606.97968,0.82348
3606.49753,0.8374
3606.01538,0.84818
3605.53323,0.85293
3605.05108,0.85473
3604.56892,0.85542
3604.08677,0.85446
3603.60462,0.85186
3603.12247,0.85013
3602.64032,0.85006
3602.15816,0.84767
3601.67601,0.841
3601.19386,0.83619
3600.71171,0.8376
3600.22956,0.84142
3599.7474,0.84436
3599.26525,0.84454
3598.7831,0.84197
3598.30095,0.84176
3597.81879,0.84591
3597.33664,0.84847
3596.85449,0.84516
3596.37234,0.83682
3595.89019,0.82829
3595.40803,0.82798
3594.92588,0.83582
3594.44373,0.84079
3593.96158,0.83773
3593.47943,0.8339
3592.99727,0.83783
3592.51512,0.84598
3592.03297,0.8514
3591.55082,0.85289
3591.06867,0.85222
3590.58651,0.85092
3590.10436,0.84686
3589.62221,0.83454
3589.14006,0.81683
3588.65791,0.81055
3588.17575,0.81571
3587.6936,0.81343
3587.21145,0.80299
3586.7293,0.80391
3586.24714,0.82114
3585.76499,0.83728
3585.28284,0.84584
3584.80069,0.8491
3584.31854,0.84863
3583.83638,0.84739
3583.35423,0.84809
3582.87208,0.85036
3582.38993,0.85251
3581.90778,0.85353
3581.42562,0.85289
3580.94347,0.85027
3580.46132,0.84705
3579.97917,0.8461
3579.49702,0.84804
3579.01486,0.85073
3578.53271,0.85191
3578.05056,0.85045
3577.56841,0.84786
3577.08626,0.84753
3576.6041,0.84971
3576.12195,0.8512
3575.6398,0.85032
3575.15765,0.84846
3574.6755,0.84785
3574.19334,0.84883
3573.71119,0.85023
3573.22904,0.85154
3572.74689,0.85268
3572.26473,0.85311
3571.78258,0.85205
3571.30043,0.84948
3570.81828,0.84767
3570.33613,0.84809
3569.85397,0.84694
3569.37182,0.83777
3568.88967,0.81906
3568.40752,0.80385
3567.92537,0.80448
3567.44321,0.8063
3566.96106,0.80011
3566.47891,0.79768
3565.99676,0.80746
3565.51461,0.82313
3565.03245,0.83486
3564.5503,0.83869
3564.06815,0.83824
3563.586,0.83907
3563.10385,0.84153
3562.62169,0.84379
3562.13954,0.846
3561.65739,0.84713
3561.17524,0.84502
3560.69308,0.84091
3560.21093,0.83981
3559.72878,0.84316
3559.24663,0.84701
3558.76448,0.84902
3558.28232,0.84916
3557.80017,0.84806
3557.31802,0.8474
3556.83587,0.84804
3556.35372,0.849
3555.87156,0.84939
3555.38941,0.84912
3554.90726,0.84743
3554.42511,0.84429
3553.94296,0.84209
3553.4608,0.84052
3552.97865,0.83585
3552.4965,0.83103
3552.01435,0.83324
3551.5322,0.83973
3551.05004,0.84403
3550.56789,0.84578
3550.08574,0.84661
3549.60359,0.84623
3549.12143,0.8443
3548.63928,0.84188
3548.15713,0.83784
3547.67498,0.83078
3547.19283,0.82698
3546.71067,0.83049
3546.22852,0.83241
3545.74637,0.82885
3545.26422,0.82753
3544.78207,0.83124
3544.29991,0.83509
3543.81776,0.83747
3543.33561,0.83978
3542.85346,0.84234
3542.37131,0.84445
3541.88915,0.84547
3541.407,0.84552
3540.92485,0.84516
3540.4427,0.84483
3539.96055,0.84472
3539.47839,0.84472
3538.99624,0.84468
3538.51409,0.84459
3538.03194,0.84419
3537.54979,0.84228
3537.06763,0.83842
3536.58548,0.83588
3536.10333,0.83752
3535.62118,0.84082
3535.13902,0.84291
3534.65687,0.84373
3534.17472,0.84396
3533.69257,0.84393
3533.21042,0.84374
3532.72826,0.84327
3532.24611,0.84207
3531.76396,0.84005
3531.28181,0.83838
3530.79966,0.83818
3530.3175,0.83785
3529.83535,0.83499
3529.3532,0.83164
3528.87105,0.83103
3528.3889,0.83125
3527.90674,0.8297
3527.42459,0.82859
3526.94244,0.83036
3526.46029,0.83257
3525.97814,0.83334
3525.49598,0.83403
3525.01383,0.83434
3524.53168,0.83337
3524.04953,0.83144
3523.56737,0.82882
3523.08522,0.82799
3522.60307,0.83098
3522.12092,0.83524
3521.63877,0.83799
3521.15661,0.8392
3520.67446,0.83949
3520.19231,0.839
3519.71016,0.83788
3519.22801,0.83718
3518.74585,0.83755
3518.2637,0.83817
3517.78155,0.83854
