cm-1,A
3532.24611,0.11813
3531.76396,0.11766
3531.28181,0.11726
3530.79966,0.11724
3530.3175,0.11716
3529.83535,0.11636
3529.3532,0.11546
3528.87105,0.11539
3528.3889,0.11559
3527.90674,0.11528
3527.42459,0.11501
3526.94244,0.11546
3526.46029,0.11602
3525.97814,0.11619
3525.49598,0.1164
3525.01383,0.11649
3524.53168,0.11615
3524.04953,0.11559
3523.56737,0.11497
3523.08522,0.1149
3522.60307,0.11584
3522.12092,0.11711
3521.63877,0.11797
3521.15661,0.11839
3520.67446,0.11854
3520.19231,0.11845
3519.71016,0.11817
3519.22801,0.118
3518.74585,0.11814
3518.2637,0.11833
3517.78155,0.11844
3517.2994,0.11858
3516.81725,0.11876
3516.33509,0.11888
3515.85294,0.11893
3515.37079,0.11894
3514.88864,0.1189
3514.40649,0.11885
3513.92433,0.1188
3513.44218,0.11875
3512.96003,0.1187
3512.47788,0.11855
3511.99573,0.11835
3511.51357,0.11828
3511.03142,0.11818
3510.54927,0.11748
3510.06712,0.11621
3509.58496,0.11559
3509.10281,0.11633
3508.62066,0.11757
3508.13851,0.11845
3507.65636,0.11886
3507.1742,0.11897
3506.69205,0.11894
3506.2099,0.11881
3505.72775,0.11848
3505.2456,0.11792
3504.76344,0.11734
3504.28129,0.11661
3503.79914,0.11566
3503.31699,0.11527
3502.83484,0.11586
3502.35268,0.11671
3501.87053,0.11738
3501.38838,0.118
3500.90623,0.11851
3500.42408,0.11874
3499.94192,0.11885
3499.45977,0.11903
3498.97762,0.11921
3498.49547,0.11929
3498.01331,0.11919
3497.53116,0.11876
3497.04901,0.11826
3496.56686,0.11815
3496.08471,0.11835
3495.60255,0.1185
3495.1204,0.11871
3494.63825,0.11903
3494.1561,0.11926
3493.67395,0.11935
3493.19179,0.1194
3492.70964,0.11941
3492.22749,0.11938
3491.74534,0.1193
3491.26319,0.11926
3490.78103,0.11931
3490.29888,0.1194
3489.81673,0.1194
3489.33458,0.11911
3488.85243,0.11842
3488.37027,0.11793
3487.88812,0.11817
3487.40597,0.11876
3486.92382,0.11911
3486.44167,0.11919
3485.95951,0.11922
3485.47736,0.1193
3484.99521,0.11937
3484.51306,0.11941
3484.0309,0.11942
3483.54875,0.11911
3483.0666,0.11823
3482.58445,0.11743
3482.1023,0.11757
3481.62014,0.11812
3481.13799,0.11836
3480.65584,0.11858
3480.17369,0.11907
3479.69154,0.11953
3479.20938,0.11979
3478.72723,0.1199
3478.24508,0.11995
3477.76293,0.11998
3477.28078,0.12
3476.79862,0.12001
3476.31647,0.11991
3475.83432,0.11961
3475.35217,0.11932
3474.87002,0.11937
3474.38786,0.11968
3473.90571,0.11992
3473.42356,0.12007
3472.94141,0.12018
3472.45925,0.12026
3471.9771,0.1203
3471.49495,0.12031
3471.0128,0.12029
3470.53065,0.12031
3470.04849,0.12044
3469.56634,0.12058
3469.08419,0.12066
3468.60204,0.12066
3468.11989,0.12052
3467.63773,0.12021
3467.15558,0.12003
3466.67343,0.12018
3466.19128,0.12048
3465.70913,0.1207
3465.22697,0.12081
3464.74482,0.12088
3464.26267,0.12088
3463.78052,0.12069
3463.29837,0.12031
3462.81621,0.12012
3462.33406,0.12024
3461.85191,0.12044
3461.36976,0.1206
3460.8876,0.12081
3460.40545,0.12106
3459.9233,0.12125
3459.44115,0.12131
3458.959,0.1213
3458.47684,0.12134
3457.99469,0.12143
3457.51254,0.1215
3457.03039,0.12153
3456.54824,0.12153
3456.06608,0.12156
3455.58393,0.12165
3455.10178,0.12176
3454.61963,0.12184
3454.13748,0.12189
3453.65532,0.12193
3453.17317,0.12196
3452.69102,0.122
3452.20887,0.12205
3451.72672,0.12209
3451.24456,0.12214
3450.76241,0.12218
3450.28026,0.12222
3449.79811,0.12222
3449.31596,0.12214
3448.8338,0.12193
3448.35165,0.12124
3447.8695,0.11985
3447.38735,0.11887
3446.90519,0.11945
