Created as New Dataset,Sample 104 By Administrator Date Monday, November 04 2019
cm-1,A
3144.00,0.2658
3142.00,0.2503
3140.00,0.2372
3138.00,0.2263
3136.00,0.2174
3134.00,0.2106
3132.00,0.2056
3130.00,0.2019
3128.00,0.1989
3126.00,0.1962
3124.00,0.1934
3122.00,0.1906
3120.00,0.1884
3118.00,0.1871
3116.00,0.1863
3114.00,0.1855
3112.00,0.1847
3110.00,0.1846
3108.00,0.1860
3106.00,0.1894
3104.00,0.1948
3102.00,0.2017
3100.00,0.2094
3098.00,0.2175
3096.00,0.2247
3094.00,0.2289
3092.00,0.2284
3090.00,0.2234
3088.00,0.2160
3086.00,0.2080
3084.00,0.2004
3082.00,0.1936
3080.00,0.1875
3078.00,0.1824
3076.00,0.1786
3074.00,0.1763
3072.00,0.1754
3070.00,0.1753
3068.00,0.1756
3066.00,0.1764
3064.00,0.1780
3062.00,0.1806
3060.00,0.1839
3058.00,0.1875
3056.00,0.1911
3054.00,0.1947
3052.00,0.1985
3050.00,0.2025
3048.00,0.2070
3046.00,0.2120
3044.00,0.2175
3042.00,0.2237
3040.00,0.2311
3038.00,0.2398
3036.00,0.2495
3034.00,0.2595
3032.00,0.2701
3030.00,0.2814
3028.00,0.2940
3026.00,0.3090
3024.00,0.3265
3022.00,0.3463
3020.00,0.3672
3018.00,0.3891
3016.00,0.4117
3014.00,0.4329
3012.00,0.4505
3010.00,0.4655
3008.00,0.4815
3006.00,0.5010
3004.00,0.5254
3002.00,0.5554
3000.00,0.5907
2998.00,0.6313
2996.00,0.6772
2994.00,0.7296
2992.00,0.7889
2990.00,0.8543
2988.00,0.9252
2986.00,1.0021
2984.00,1.0865
2982.00,1.1800
2980.00,1.2835
2978.00,1.3974
2976.00,1.5222
2974.00,1.6590
2972.00,1.8107
2970.00,1.9815
2968.00,2.1725
2966.00,2.3819
2964.00,2.5976
2962.00,2.7883
2960.00,2.9112
2958.00,2.9792
2956.00,3.0292
2954.00,3.0798
2952.00,3.1114
2950.00,3.1401
2948.00,3.1875
2946.00,3.2524
2944.00,3.2909
2942.00,3.3093
2940.00,3.3265
2938.00,3.3761
2936.00,3.4190
2934.00,3.4594
2932.00,3.5088
2930.00,3.5825
2928.00,3.6241
2926.00,3.6906
2924.00,3.7765
2922.00,3.8298
2920.00,3.8555
2918.00,3.9374
2916.00,3.9844
2914.00,4.0133
2912.00,3.9489
2910.00,3.9467
2908.00,4.0343
2906.00,4.1394
2904.00,4.1255
2902.00,4.1218
2900.00,4.0611
2898.00,4.0608
2896.00,4.0808
2894.00,4.1540
2892.00,4.1699
2890.00,4.2457
2888.00,4.2738
2886.00,4.2101
2884.00,4.1167
2882.00,4.1258
2880.00,4.1142
2878.00,4.0853
2876.00,4.0068
2874.00,3.9763
2872.00,3.8549
2870.00,3.7289
2868.00,3.6074
2866.00,3.5392
2864.00,3.4904
2862.00,3.4513
2860.00,3.3944
2858.00,3.3353
2856.00,3.2851
2854.00,3.2602
2852.00,3.2295
2850.00,3.2015
2848.00,3.1682
2846.00,3.1461
2844.00,3.1244
2842.00,3.1183
2840.00,3.1258
2838.00,3.1060
2836.00,3.0222
2834.00,2.8543
2832.00,2.5734
2830.00,2.2713
2828.00,1.9991
2826.00,1.7717
2824.00,1.5919
2822.00,1.4631
2820.00,1.3834
2818.00,1.3291
2816.00,1.2565
2814.00,1.1540
2812.00,1.0504
2810.00,0.9706
2808.00,0.9227
2806.00,0.9094
2804.00,0.9328
2802.00,0.9949
2800.00,1.1005
2798.00,1.2571
2796.00,1.4551
2794.00,1.6215
2792.00,1.6151
2790.00,1.4345
2788.00,1.2151
2786.00,1.0315
2784.00,0.8986
2782.00,0.8096
2780.00,0.7508
2778.00,0.7051
2776.00,0.6536
2774.00,0.5888
2772.00,0.5195
2770.00,0.4580
2768.00,0.4098
2766.00,0.3733
2764.00,0.3444
2762.00,0.3204
2760.00,0.3006
2758.00,0.2844
2756.00,0.2716
2754.00,0.2613
2752.00,0.2529
2750.00,0.2454
2748.00,0.2384
2746.00,0.2320
2744.00,0.2267
