Created as New Dataset,Sample 113 By Administrator Date Wednesday, July 29 2020
cm-1,A
3178.00,0.0772
3176.00,0.0775
3174.00,0.0781
3172.00,0.0792
3170.00,0.0808
3168.00,0.0831
3166.00,0.0858
3164.00,0.0884
3162.00,0.0897
3160.00,0.0894
3158.00,0.0879
3156.00,0.0861
3154.00,0.0846
3152.00,0.0837
3150.00,0.0832
3148.00,0.0831
3146.00,0.0831
3144.00,0.0833
3142.00,0.0836
3140.00,0.0841
3138.00,0.0845
3136.00,0.0852
3134.00,0.0860
3132.00,0.0871
3130.00,0.0884
3128.00,0.0900
3126.00,0.0919
3124.00,0.0945
3122.00,0.0979
3120.00,0.1024
3118.00,0.1085
3116.00,0.1171
3114.00,0.1291
3112.00,0.1462
3110.00,0.1694
3108.00,0.1976
3106.00,0.2262
3104.00,0.2473
3102.00,0.2551
3100.00,0.2514
3098.00,0.2441
3096.00,0.2421
3094.00,0.2522
3092.00,0.2804
3090.00,0.3319
3088.00,0.4096
3086.00,0.5071
3084.00,0.5993
3082.00,0.6449
3080.00,0.6230
3078.00,0.5629
3076.00,0.5071
3074.00,0.4764
3072.00,0.4741
3070.00,0.4998
3068.00,0.5549
3066.00,0.6398
3064.00,0.7465
3062.00,0.8492
3060.00,0.9024
3058.00,0.8712
3056.00,0.7758
3054.00,0.6675
3052.00,0.5764
3050.00,0.5083
3048.00,0.4618
3046.00,0.4370
3044.00,0.4349
3042.00,0.4559
3040.00,0.5006
3038.00,0.5717
3036.00,0.6764
3034.00,0.8243
3032.00,1.0226
3030.00,1.2673
3028.00,1.5231
3026.00,1.6879
3024.00,1.6012
3022.00,1.3131
3020.00,1.0093
3018.00,0.7667
3016.00,0.5927
3014.00,0.4752
3012.00,0.4009
3010.00,0.3607
3008.00,0.3486
3006.00,0.3596
3004.00,0.3841
3002.00,0.4040
3000.00,0.3970
2998.00,0.3572
2996.00,0.3024
2994.00,0.2536
2992.00,0.2191
2990.00,0.1975
2988.00,0.1849
2986.00,0.1786
2984.00,0.1767
2982.00,0.1782
2980.00,0.1822
2978.00,0.1874
2976.00,0.1923
2974.00,0.1965
2972.00,0.2013
2970.00,0.2081
2968.00,0.2180
2966.00,0.2313
2964.00,0.2482
2962.00,0.2689
2960.00,0.2937
2958.00,0.3232
2956.00,0.3582
2954.00,0.3996
2952.00,0.4487
2950.00,0.5068
2948.00,0.5755
2946.00,0.6557
2944.00,0.7481
2942.00,0.8531
2940.00,0.9718
2938.00,1.1049
2936.00,1.2518
2934.00,1.4092
2932.00,1.5706
2930.00,1.7239
2928.00,1.8494
2926.00,1.9355
2924.00,1.9753
2922.00,1.9664
2920.00,1.9135
2918.00,1.8274
2916.00,1.7189
2914.00,1.5985
2912.00,1.4732
2910.00,1.3494
2908.00,1.2309
2906.00,1.1192
2904.00,1.0130
2902.00,0.9123
2900.00,0.8194
2898.00,0.7376
2896.00,0.6691
2894.00,0.6137
2892.00,0.5694
