Created as New Dataset,Sample 116 By Administrator Date Monday, August 24 2020
cm-1,A
3078.00,-0.1159
3076.00,-0.1137
3074.00,-0.1116
3072.00,-0.1094
3070.00,-0.1074
3068.00,-0.1054
3066.00,-0.1033
3064.00,-0.1014
3062.00,-0.0994
3060.00,-0.0976
3058.00,-0.0958
3056.00,-0.0939
3054.00,-0.0921
3052.00,-0.0904
3050.00,-0.0887
3048.00,-0.0869
3046.00,-0.0853
3044.00,-0.0836
3042.00,-0.0820
3040.00,-0.0804
3038.00,-0.0790
3036.00,-0.0774
3034.00,-0.0758
3032.00,-0.0743
3030.00,-0.0729
3028.00,-0.0715
3026.00,-0.0702
3024.00,-0.0688
3022.00,-0.0674
3020.00,-0.0661
3018.00,-0.0648
3016.00,-0.0635
3014.00,-0.0623
3012.00,-0.0611
3010.00,-0.0599
3008.00,-0.0587
3006.00,-0.0576
3004.00,-0.0565
3002.00,-0.0554
3000.00,-0.0543
2998.00,-0.0533
2996.00,-0.0522
2994.00,-0.0512
2992.00,-0.0502
2990.00,-0.0493
2988.00,-0.0483
2986.00,-0.0473
2984.00,-0.0464
2982.00,-0.0455
2980.00,-0.0446
2978.00,-0.0438
2976.00,-0.0430
2974.00,-0.0421
2972.00,-0.0412
2970.00,-0.0405
2968.00,-0.0397
2966.00,-0.0390
2964.00,-0.0382
2962.00,-0.0375
2960.00,-0.0368
2958.00,-0.0362
2956.00,-0.0355
2954.00,-0.0347
2952.00,-0.0340
2950.00,-0.0334
2948.00,-0.0328
2946.00,-0.0321
2944.00,-0.0315
2942.00,-0.0310
2940.00,-0.0304
2938.00,-0.0299
2936.00,-0.0293
2934.00,-0.0288
2932.00,-0.0283
2930.00,-0.0278
2928.00,-0.0274
2926.00,-0.0268
2924.00,-0.0263
2922.00,-0.0258
2920.00,-0.0254
2918.00,-0.0249
2916.00,-0.0243
2914.00,-0.0238
2912.00,-0.0234
2910.00,-0.0229
2908.00,-0.0225
2906.00,-0.0220
2904.00,-0.0217
2902.00,-0.0213
2900.00,-0.0209
2898.00,-0.0205
2896.00,-0.0201
2894.00,-0.0198
2892.00,-0.0194
2890.00,-0.0190
2888.00,-0.0187
2886.00,-0.0183
2884.00,-0.0180
2882.00,-0.0177
2880.00,-0.0174
2878.00,-0.0170
2876.00,-0.0166
2874.00,-0.0164
2872.00,-0.0162
2870.00,-0.0160
2868.00,-0.0156
2866.00,-0.0153
2864.00,-0.0150
2862.00,-0.0148
2860.00,-0.0146
2858.00,-0.0143
2856.00,-0.0142
2854.00,-0.0140
2852.00,-0.0137
2850.00,-0.0135
2848.00,-0.0132
2846.00,-0.0129
2844.00,-0.0127
2842.00,-0.0125
2840.00,-0.0123
2838.00,-0.0121
2836.00,-0.0118
2834.00,-0.0116
2832.00,-0.0115
2830.00,-0.0114
2828.00,-0.0112
2826.00,-0.0111
2824.00,-0.0109
2822.00,-0.0107
2820.00,-0.0105
2818.00,-0.0104
2816.00,-0.0102
2814.00,-0.0101
2812.00,-0.0099
2810.00,-0.0097
2808.00,-0.0096
2806.00,-0.0095
2804.00,-0.0093
2802.00,-0.0092
2800.00,-0.0090
2798.00,-0.0089
2796.00,-0.0088
2794.00,-0.0086
2792.00,-0.0085
2790.00,-0.0084
2788.00,-0.0083
2786.00,-0.0081
