Time (s),Heat Flow (mJ/s)
222.19998,13.9564
222.40002,13.955755
222.6,13.955084
222.79998,13.954476
223.00002,13.953831
223.2,13.953233
223.39998,13.952643
223.60002,13.952072
223.8,13.951474
223.99998,13.950885
224.20002,13.950332
224.4,13.949771
224.59998,13.949236
224.80002,13.948702
225,13.948104
225.19998,13.947533
225.40002,13.94698
225.6,13.9464
225.79998,13.945884
226.00002,13.945423
226.2,13.944991
226.39998,13.944604
226.60002,13.944235
226.8,13.943894
226.99998,13.943488
227.20002,13.943119
227.4,13.942705
227.59998,13.942336
227.80002,13.941912
228,13.941608
228.19998,13.941442
228.40002,13.941256
228.6,13.941026
228.79998,13.940767
229.00002,13.940546
229.2,13.940297
229.39998,13.940038
229.60002,13.939798
229.8,13.939549
229.99998,13.939364
230.20002,13.939197
230.4,13.938967
230.59998,13.938782
230.80002,13.938596
231,13.938374
231.19998,13.938144
231.40002,13.937922
231.6,13.937719
231.79998,13.937451
232.00002,13.937266
232.2,13.937063
232.39998,13.936832
232.60002,13.936592
232.8,13.936388
232.99998,13.936176
233.20002,13.935973
233.4,13.935824
233.59998,13.93563
233.80002,13.935464
234,13.935278
234.19998,13.935066
234.40002,13.934881
234.6,13.934696
234.79998,13.934484
235.00002,13.934262
235.2,13.934113
235.39998,13.933883
235.60002,13.933716
235.8,13.933485
235.99998,13.9333
236.20002,13.93317
236.4,13.933003
236.59998,13.932827
236.80002,13.932679
237,13.932522
237.19998,13.93241
237.40002,13.932261
237.6,13.932104
237.79998,13.931937
238.00002,13.931789
238.2,13.931632
238.39998,13.931538
238.60002,13.931445
238.8,13.93138
238.99998,13.931323
239.20002,13.931303
239.4,13.931256
239.59998,13.931273
239.80002,13.931345
240,13.931408
240.19998,13.93148
240.40002,13.931562
240.6,13.93167
240.79998,13.931742
241.00002,13.931824
241.2,13.93195
241.39998,13.932041
241.60002,13.932141
241.8,13.932249
241.99998,13.932349
242.20002,13.932439
242.4,13.932584
242.59998,13.932721
242.80002,13.932866
243,13.93304
243.19998,13.93324
243.40002,13.933477
243.6,13.933724
243.79998,13.933943
244.00002,13.934161
244.2,13.934371
244.39998,13.934572
244.60002,13.934727
244.8,13.934945
244.99998,13.935164
245.20002,13.935447
245.4,13.935776
245.59998,13.936105
245.80002,13.936443
246,13.936864
246.19998,13.937276
246.40002,13.937678
246.6,13.938227
246.79998,13.938823
247.00002,13.939464
247.2,13.940086
247.39998,13.940763
247.60002,13.941414
247.8,13.942073
247.99998,13.942732
248.20002,13.94331
248.4,13.943932
248.59998,13.944473
248.80002,13.945058
249,13.94557
249.19998,13.946147
249.40002,13.946769
249.6,13.947392
249.79998,13.94795
250.00002,13.948554
250.2,13.949158
250.39998,13.94978
250.60002,13.950375
250.8,13.950997
250.99998,13.951611
251.20002,13.95227
251.4,13.952947
251.59998,13.953624
251.80002,13.954275
252,13.954988
252.19998,13.955657
252.40002,13.956371
252.6,13.957084
252.79998,13.957835
253.00002,13.95854
253.2,13.959272
253.39998,13.959967
253.60002,13.960673
253.8,13.961441
253.99998,13.96221
254.20002,13.963052
254.4,13.963849
254.59998,13.964618
254.80002,13.965313
255,13.965926
255.19998,13.966603
255.40002,13.967261
255.6,13.96793
255.79998,13.968735
256.00002,13.969595
256.2,13.970465
256.39998,13.971399
256.60002,13.972149
256.8,13.97256
256.99998,13.972925
257.20002,13.973344
257.4,13.973847
257.59998,13.974469
257.80002,13.975108
258,13.975813
258.19998,13.976618
258.40002,13.977478
258.6,13.978293
258.79998,13.979135
259.00002,13.979903
259.2,13.9807
259.39998,13.981504
259.60002,13.982309
259.8,13.983032
259.99998,13.983782
260.20002,13.984513
260.4,13.985218
260.59998,13.985967
260.80002,13.986698
261,13.987385
261.19998,13.988079
261.40002,13.988755
261.6,13.989387
261.79998,13.990062
262.00002,13.990775
262.2,13.991498
262.39998,13.992284
262.60002,13.99307
262.8,13.993874
262.99998,13.994652
263.20002,13.995475
263.4,13.996297
263.59998,13.997076
263.80002,13.997861
264,13.998647
264.19998,13.999407
264.40002,14.000229
264.6,14.001033
264.79998,14.00183
265.00002,14.002725
265.2,14.003713
265.39998,14.004638
265.60002,14.005607
265.8,14.006576
265.99998,14.007519
266.20002,14.008525
266.4,14.009512
266.59998,14.010455
266.80002,14.011406
267,14.012393
267.19998,14.013318
267.40002,14.01425
267.6,14.015163
267.79998,14.01607
268.00002,14.017002
268.2,14.017952
268.39998,14.018895
268.60002,14.019845
268.8,14.020777
268.99998,14.02172
269.20002,14.022707
269.4,14.023705
269.59998,14.02471
269.80002,14.025752
270,14.026757
270.19998,14.027755
270.40002,14.028797
270.6,14.02982
270.79998,14.030836
271.00002,14.031841
271.2,14.032883
271.39998,14.033899
271.60002,14.034959
271.8,14.035982
271.99998,14.037035
272.20002,14.038113
272.4,14.03921
272.59998,14.040281
272.80002,14.041414
273,14.042547
273.19998,14.043673
273.40002,14.044825
273.6,14.045994
273.79998,14.047127
274.00002,14.048198
274.2,14.049276
274.39998,14.050329
274.60002,14.051406
274.8,14.052466
274.99998,14.053525
275.20002,14.054559
275.4,14.055656
275.59998,14.056752
275.80002,14.057841
276,14.058937
276.19998,14.060069
276.40002,14.06125
276.6,14.062474
276.79998,14.06368
277.00002,14.064751
277.2,14.065682
277.39998,14.066649
277.60002,14.067518
277.8,14.068357
277.99998,14.069214
278.20002,14.070028
278.4,14.070922
278.59998,14.071742
278.80002,14.072446
279,14.073284
279.19998,14.074123
279.40002,14.074889
279.6,14.075684
279.79998,14.076596
280.00002,14.077508
280.2,14.078376
280.39998,14.079215
280.60002,14.08001
280.8,14.080849
280.99998,14.081724
281.20002,14.082538
281.4,14.083358
281.59998,14.084178
281.80002,14.084991
282,14.085793
282.19998,14.086631
282.40002,14.087463
282.6,14.08832
282.79998,14.08914
283.00002,14.089917
283.2,14.0907
283.39998,14.091465
283.60002,14.092168
283.8,14.092951
283.99998,14.093716
284.20002,14.094474
284.4,14.095257
284.59998,14.096077
284.80002,14.096872
285,14.097637
285.19998,14.098383
285.40002,14.099086
285.6,14.099851
285.79998,14.100634
286.00002,14.101374
286.2,14.102083
286.39998,14.102774
286.60002,14.103441
286.8,14.104095
286.99998,14.10475
287.20002,14.105361
287.4,14.106016
287.59998,14.10667
287.80002,14.1073
288,14.107991
288.19998,14.108663
288.40002,14.109256
288.6,14.109819
288.79998,14.1104
289.00002,14.110919
289.2,14.111482
289.39998,14.111971
289.60002,14.112454
289.8,14.11298
289.99998,14.113469
290.20002,14.113842
290.4,14.114221
290.59998,14.114619
290.80002,14.114973
291,14.115352
291.19998,14.11575
291.40002,14.116159
291.6,14.11652
291.79998,14.116862
292.00002,14.11718
292.2,14.117577
292.39998,14.11792
292.60002,14.118237
292.8,14.118543
292.99998,14.118861
293.20002,14.119185
293.4,14.119527
293.59998,14.119808
293.80002,14.120095
294,14.120364
294.19998,14.120572
294.40002,14.120749
294.6,14.120981
294.79998,14.121171
295.00002,14.121366
295.2,14.121562
295.39998,14.121733
295.60002,14.121965
295.8,14.122099
295.99998,14.122313
296.20002,14.122472
296.4,14.122557
296.59998,14.122636
296.80002,14.122685
