Time (s),Heat Flow (mJ/s)
142.99998,20.561542
143.20002,20.561618
143.4,20.561712
143.59998,20.561917
143.80002,20.56212
144,20.562358
144.19998,20.562617
144.40002,20.562802
144.6,20.562968
144.79998,20.563101
145.00002,20.563232
145.2,20.563363
145.39998,20.56346
145.60002,20.563591
145.8,20.563722
145.99998,20.563855
146.20002,20.564005
146.4,20.564118
146.59998,20.564269
146.80002,20.564401
147,20.564516
147.19998,20.564648
147.40002,20.564762
147.6,20.564841
147.79998,20.564919
148.00002,20.564979
148.2,20.565075
148.39998,20.565172
148.60002,20.565268
148.8,20.565401
148.99998,20.565534
149.20002,20.565649
149.4,20.565783
149.59998,20.565897
149.80002,20.566047
150,20.566182
150.19998,20.566296
150.40002,20.566375
150.6,20.566509
150.79998,20.566606
151.00002,20.566721
151.2,20.566837
151.39998,20.566934
151.60002,20.567013
151.8,20.567112
151.99998,20.567191
152.20002,20.567288
152.4,20.567405
152.59998,20.56752
152.80002,20.567617
153,20.567716
153.19998,20.567796
153.40002,20.567875
153.6,20.567939
153.79998,20.567982
154.00002,20.568008
154.2,20.568035
154.39998,20.568079
154.60002,20.568105
154.8,20.568133
154.99998,20.568159
155.20002,20.568221
155.4,20.568266
155.59998,20.568311
155.80002,20.568373
156,20.568473
156.19998,20.568571
156.40002,20.568652
156.6,20.568733
156.79998,20.568814
157.00002,20.568877
157.2,20.568941
157.39998,20.56895
157.60002,20.568977
157.8,20.569005
157.99998,20.569032
158.20002,20.569095
158.4,20.569159
158.59998,20.569223
158.80002,20.569268
159,20.56935
159.19998,20.569414
159.40002,20.569531
159.6,20.569596
159.79998,20.569678
160.00002,20.569741
160.2,20.569842
160.39998,20.569906
160.60002,20.569952
160.8,20.569999
160.99998,20.570009
161.20002,20.570019
161.4,20.57003
161.59998,20.57004
161.80002,20.570068
162,20.570098
162.19998,20.570144
162.40002,20.570172
162.6,20.570256
162.79998,20.570302
163.00002,20.570385
163.2,20.570451
163.39998,20.570497
163.60002,20.570526
163.8,20.570574
163.99998,20.570621
164.20002,20.570686
164.4,20.570734
164.59998,20.570781
164.80002,20.570792
165,20.57084
165.19998,20.57087
165.40002,20.570881
165.6,20.570893
165.79998,20.570923
166.00002,20.570952
166.2,20.571001
166.39998,20.571067
166.60002,20.571132
166.8,20.571163
166.99998,20.571229
167.20002,20.571277
167.4,20.571308
167.59998,20.571338
167.80002,20.57135
168,20.571363
168.19998,20.571357
168.40002,20.571369
168.6,20.571383
168.79998,20.571395
169.00002,20.571408
169.2,20.571421
169.39998,20.571415
169.60002,20.57141
169.8,20.571406
169.99998,20.571401
170.20002,20.571395
170.4,20.571373
170.59998,20.57135
170.80002,20.571309
171,20.571269
171.19998,20.571228
171.40002,20.571188
171.6,20.571112
171.79998,20.571071
172.00002,20.57103
172.2,20.571009
172.39998,20.570986
172.60002,20.571
172.8,20.571014
172.99998,20.571028
173.20002,20.571042
173.4,20.571074
173.59998,20.571106
173.80002,20.57112
174,20.571135
174.19998,20.571167
174.40002,20.571181
174.6,20.571196
174.79998,20.571246
175.00002,20.571279
175.2,20.57133
175.39998,20.571416
175.60002,20.571521
175.8,20.571608
175.99998,20.571676
176.20002,20.571745
176.4,20.571779
176.59998,20.571793
176.80002,20.571844
177,20.571878
177.19998,20.571893
177.40002,20.571872
177.6,20.571834
177.79998,20.571759
178.00002,20.571702
178.2,20.571646
178.39998,20.571626
178.60002,20.571641
178.8,20.571639
178.99998,20.571655
179.20002,20.571617
179.4,20.571615
179.59998,20.571595
179.80002,20.571557
180,20.571537
180.19998,20.571517
180.40002,20.571515
180.6,20.57155
180.79998,20.571548
181.00002,20.571564
181.2,20.571617
181.39998,20.571651
181.60002,20.571704
181.8,20.571774
181.99998,20.571863
182.20002,20.571934
182.4,20.572004
182.59998,20.572057
182.80002,20.57211
183,20.572127
183.19998,20.572126
183.40002,20.572107
183.6,20.572106
183.79998,20.572088
184.00002,20.572105
184.2,20.572158
184.39998,20.572194
184.60002,20.572283
184.8,20.572373
184.99998,20.572444
185.20002,20.57248
185.4,20.572516
185.59998,20.572533
185.80002,20.572533
186,20.572551
186.19998,20.572551
186.40002,20.572569
186.6,20.572587
186.79998,20.572605
187.00002,20.572659
187.2,20.572714
187.39998,20.572732
187.60002,20.572786
187.8,20.572841
187.99998,20.572877
188.20002,20.57295
188.4,20.573022
188.59998,20.573095
188.80002,20.573132
189,20.573186
189.19998,20.573241
189.40002,20.573296
189.6,20.573351
189.79998,20.573424
190.00002,20.573479
190.2,20.573552
190.39998,20.573608
190.60002,20.573681
190.8,20.573754
190.99998,20.57381
191.20002,20.573865
191.4,20.573903
191.59998,20.57394
191.80002,20.573978
192,20.573997
192.19998,20.574053
192.40002,20.574091
192.6,20.574129
192.79998,20.574167
193.00002,20.574169
193.2,20.574135
193.39998,20.574137
193.60002,20.574139
193.8,20.574123
193.99998,20.574126
194.20002,20.574146
194.4,20.574167
194.59998,20.574187
194.80002,20.574225
195,20.574264
195.19998,20.574303
195.40002,20.574378
195.6,20.574452
195.79998,20.574509
196.00002,20.574548
196.2,20.574569
196.39998,20.57459
196.60002,20.574594
196.8,20.574542
196.99998,20.574474
197.20002,20.574261
197.4,20.574192
197.59998,20.574286
197.80002,20.574577
198,20.574958
198.19998,20.57534
198.40002,20.575632
198.6,20.575923
198.79998,20.576179
199.00002,20.576309
199.2,20.576438
199.39998,20.57655
199.60002,20.576645
199.8,20.576702
199.99998,20.576779
200.20002,20.576909
200.4,20.577057
200.59998,20.577133
200.80002,20.577192
201,20.57725
201.19998,20.577308
201.40002,20.577331
201.6,20.577335
201.79998,20.577394
202.00002,20.577399
202.2,20.57744
202.39998,20.577481
202.60002,20.577576
202.8,20.577616
202.99998,20.57764
203.20002,20.577645
203.4,20.577614
203.59998,20.577637
203.80002,20.577643
204,20.577665
204.19998,20.577725
204.40002,20.577803
204.6,20.577862
204.79998,20.577958
205.00002,20.578035
205.2,20.578095
205.39998,20.578209
205.60002,20.578305
205.8,20.578364
205.99998,20.57846
206.20002,20.578503
206.4,20.578544
206.59998,20.578586
206.80002,20.578593
207,20.578617
207.19998,20.578605
207.40002,20.578612
207.6,20.578672
207.79998,20.578732
208.00002,20.578883
208.2,20.579051
