Time (sec),Heat Flow (mJ/s)
131.80002,8.053618286
132,8.051767655
132.19998,8.049917024
132.40002,8.048066393
132.6,8.046215762
132.79998,8.044365131
133.00002,8.0425145
133.2,8.040663869
133.39998,8.038813238
133.60002,8.036962607
133.8,8.035111976
133.99998,8.033261345
134.20002,8.031410714
134.4,8.029560083
134.59998,8.027709452
134.80002,8.025858821
135,8.02400819
135.19998,8.02215756
135.40002,8.020306929
135.6,8.018456298
135.79998,8.016605667
136.00002,8.014755036
136.2,8.012904405
136.39998,8.011053774
136.60002,8.009203143
136.8,8.007352512
136.99998,8.005501881
137.20002,8.00365125
137.4,8.001800619
137.59998,7.999949988
137.80002,7.998099357
138,7.996248726
138.19998,7.994398095
138.40002,7.992547464
138.6,7.990696833
138.79998,7.988846202
139.00002,7.986995571
139.2,7.98514494
139.39998,7.98329431
139.60002,7.981443679
139.8,7.979593048
139.99998,7.977742417
140.20002,7.975891786
140.4,7.974041155
140.59998,7.972190524
140.80002,7.970339893
141,7.968489262
141.19998,7.966638631
141.40002,7.964788
141.6,7.962937369
141.79998,7.961086738
142.00002,7.959236107
142.2,7.957385476
142.39998,7.955534845
142.60002,7.953684214
142.8,7.951833583
142.99998,7.949982952
143.20002,7.948132321
143.4,7.94628169
143.59998,7.94443106
143.80002,7.942580429
144,7.940729798
144.19998,7.938879167
144.40002,7.937028536
144.6,7.935177905
144.79998,7.933327274
145.00002,7.931476643
145.2,7.929626012
145.39998,7.927775381
145.60002,7.92592475
145.8,7.924074119
145.99998,7.922223488
146.20002,7.920372857
146.4,7.918522226
146.59998,7.916671595
146.80002,7.914820964
147,7.912970333
147.19998,7.911119702
147.40002,7.909269071
147.6,7.90741844
147.79998,7.90556781
148.00002,7.903717179
148.2,7.901866548
148.39998,7.900015917
148.60002,7.898165286
148.8,7.896314655
148.99998,7.894464024
149.20002,7.892613393
149.4,7.890762762
149.59998,7.888912131
149.80002,7.8870615
150,7.885210869
150.19998,7.883360238
