Time (s),Heat Flow (mJ/s)
130.2,6.513911
130.39998,6.517122
130.60002,6.520348
130.8,6.523503
130.99998,6.526696
131.20002,6.529865
131.4,6.53302
131.59998,6.5361
131.80002,6.539175
132,6.542274
132.19998,6.545279
132.40002,6.548317
132.6,6.55134
132.79998,6.554457
133.00002,6.557551
133.2,6.560631
133.39998,6.563691
133.60002,6.566673
133.8,6.569602
133.99998,6.572494
134.20002,6.57542
134.4,6.578368
134.59998,6.581241
134.80002,6.584072
135,6.586871
135.19998,6.589631
135.40002,6.592406
135.6,6.595186
135.79998,6.597946
136.00002,6.600628
136.2,6.603294
136.39998,6.605924
136.60002,6.608586
136.8,6.611234
136.99998,6.613826
137.20002,6.616399
137.4,6.619005
137.59998,6.621597
137.80002,6.62417
138,6.626739
138.19998,6.629255
138.40002,6.631824
138.6,6.63434
138.79998,6.636838
139.00002,6.639332
139.2,6.641848
139.39998,6.644346
139.60002,6.646858
139.8,6.649374
139.99998,6.651834
140.20002,6.654309
140.4,6.656806
140.59998,6.659341
140.80002,6.661928
141,6.664463
141.19998,6.666904
141.40002,6.669191
141.6,6.671445
141.79998,6.673905
142.00002,6.676323
142.2,6.678146
142.39998,6.679539
142.60002,6.681321
142.8,6.682994
142.99998,6.684836
143.20002,6.686805
143.4,6.688647
143.59998,6.690507
143.80002,6.692401
144,6.694206
144.19998,6.695972
144.40002,6.697735
144.6,6.699465
144.79998,6.70125
145.00002,6.702994
145.2,6.704705
145.39998,6.706453
145.60002,6.708216
145.8,6.709963
145.99998,6.711711
146.20002,6.713455
146.4,6.715203
146.59998,6.716932
146.80002,6.718695
147,6.720405
147.19998,6.722115
147.40002,6.723878
147.6,6.725607
147.79998,6.727335
148.00002,6.729079
148.2,6.730845
148.39998,6.732593
148.60002,6.734337
148.8,6.736047
148.99998,6.737719
149.20002,6.739407
149.4,6.741042
149.59998,6.742677
149.80002,6.744345
150,6.74598
150.19998,6.747653
150.40002,6.749303
150.6,6.750938
150.79998,6.752572
151.00002,6.754241
151.2,6.755857
151.39998,6.757473
151.60002,6.759123
151.8,6.760739
151.99998,6.762318
152.20002,6.763893
152.4,6.765509
152.59998,6.767068
152.80002,6.768606
153,6.770091
153.19998,6.771594
153.40002,6.77315
153.6,6.774673
153.79998,6.776195
154.00002,6.777732
154.2,6.779217
154.39998,6.78072
154.60002,6.782202
154.8,6.783649
154.99998,6.785077
155.20002,6.786502
155.4,6.787912
155.59998,6.789322
155.80002,6.790747
156,6.792119
156.19998,6.79351
156.40002,6.794898
156.6,6.79627
156.79998,6.797642
157.00002,6.799067
157.2,6.800439
157.39998,6.80183
157.60002,6.803236
157.8,6.804571
157.99998,6.805943
158.20002,6.80733
158.4,6.80874
158.59998,6.810131
158.80002,6.811555
159,6.812946
159.19998,6.814374
159.40002,6.815836
159.6,6.817264
159.79998,6.818673
160.00002,6.820098
160.2,6.821526
160.39998,6.822935
160.60002,6.824322
160.8,6.825675
160.99998,6.827028
161.20002,6.828397
161.4,6.829731
161.59998,6.831084
161.80002,6.832415
162,6.833786
162.19998,6.835158
162.40002,6.836582
162.6,6.837973
162.79998,6.839326
163.00002,6.840694
163.2,6.842028
163.39998,6.843343
163.60002,6.844581
163.8,6.84584
163.99998,6.847155
164.20002,6.848486
164.4,6.849782
164.59998,6.851135
164.80002,6.852466
165,6.853781
165.19998,6.855171
165.40002,6.85667
165.6,6.858135
165.79998,6.859543
166.00002,6.860986
166.2,6.862432
166.39998,6.86384
166.60002,6.86532
166.8,6.86686
166.99998,6.868362
167.20002,6.869692
167.4,6.871063
167.59998,6.872434
167.80002,6.873783
168,6.875079
168.19998,6.876394
168.40002,6.877743
168.6,6.879021
168.79998,6.88028
169.00002,6.88161
169.2,6.882906
169.39998,6.884277
169.60002,6.885663
169.8,6.887015
169.99998,6.888367
170.20002,6.889679
170.4,6.891031
170.59998,6.892345
170.80002,6.89375
171,6.89514
171.19998,6.896548
171.40002,6.898008
171.6,6.899472
171.79998,6.900974
172.00002,6.902435
172.2,6.90388
172.39998,6.905325
172.60002,6.906749
172.8,6.908175
172.99998,6.909658
173.20002,6.911193
173.4,6.912713
173.59998,6.914214
173.80002,6.915712
174,6.917269
174.19998,6.918826
174.40002,6.920399
174.6,6.921919
174.79998,6.923439
175.00002,6.924993
175.2,6.92655
175.39998,6.928144
175.60002,6.929813
175.8,6.93146
175.99998,6.933111
176.20002,6.934777
176.4,6.936352
176.59998,6.937928
176.80002,6.939482
177,6.940982
177.19998,6.942502
177.40002,6.943981
177.6,6.945332
177.79998,6.946907
178.00002,6.948816
178.2,6.951101
178.39998,6.95348
178.60002,6.955762
178.8,6.958029
178.99998,6.96022
179.20002,6.962465
179.4,6.964582
179.59998,6.966624
179.80002,6.968551
180,6.970612
180.19998,6.972822
180.40002,6.975048
180.6,6.977258
180.79998,6.979487
181.00002,6.981713
181.2,6.984035
181.39998,6.986469
181.60002,6.988882
181.8,6.99126
181.99998,6.9936
182.20002,6.996069
182.4,6.998745
182.59998,7.001291
182.80002,7.003741
183,7.00625
183.19998,7.008814
183.40002,7.011376
183.6,7.013977
183.79998,7.016654
184.00002,7.019402
184.2,7.022228
184.39998,7.025016
184.60002,7.027839
184.8,7.030702
184.99998,7.033528
185.20002,7.036388
185.4,7.039214
185.59998,7.04202
185.80002,7.044899
186,7.047799
186.19998,7.050718
186.40002,7.053634
186.6,7.056534
186.79998,7.059452
187.00002,7.062387
187.2,7.065268
187.39998,7.068093
187.60002,7.071008
187.8,7.073945
187.99998,7.076957
188.20002,7.080022
188.4,7.083089
188.59998,7.086194
188.80002,7.089371
189,7.092513
189.19998,7.095655
189.40002,7.098722
189.6,7.101787
189.79998,7.104891
190.00002,7.108068
190.2,7.111266
190.39998,7.114538
190.60002,7.117864
190.8,7.121174
190.99998,7.124539
191.20002,7.127865
191.4,7.131062
191.59998,7.134372
191.80002,7.138071
192,7.142071
192.19998,7.145959
192.40002,7.149826
192.6,7.153639
192.79998,7.157471
193.00002,7.161282
193.2,7.165132
193.39998,7.169038
193.60002,7.173091
193.8,7.177221
193.99998,7.181426
194.20002,7.185834
194.4,7.190375
194.59998,7.195139
194.80002,7.200072
195,7.205114
195.19998,7.210009
195.40002,7.215948
195.6,7.222019
195.79998,7.228239
196.00002,7.2347
196.2,7.240565
196.39998,7.246374
196.60002,7.254459
196.8,7.263348
196.99998,7.272032
197.20002,7.281722
197.4,7.291768
197.59998,7.300581
197.80002,7.309207
198,7.319476
198.19998,7.330884
198.40002,7.343821
198.6,7.357413
198.79998,7.370425
199.00002,7.385564
199.2,7.401246
199.39998,7.417673
199.60002,7.434846
199.8,7.452524
199.99998,7.470761
200.20002,7.488867
200.4,7.508316
200.59998,7.528624
200.80002,7.550163
201,7.572057
201.19998,7.5966
201.40002,7.622095
201.6,7.649307
201.79998,7.674185
202.00002,7.699791
202.2,7.726739
202.39998,7.754098
202.60002,7.783734
202.8,7.813462
202.99998,7.844309
203.20002,7.874989
203.4,7.906581
203.59998,7.938173
203.80002,7.970643
204,8.00326
204.19998,8.041176
204.40002,8.080886
204.6,8.118651
204.79998,8.156006
205.00002,8.193008
205.2,8.231219
205.39998,8.271295
205.60002,8.31167
205.8,8.352943
205.99998,8.394118
206.20002,8.437032
206.4,8.481266
206.59998,8.525723
206.80002,8.5708
207,8.614956
207.19998,8.660511
207.40002,8.705624
207.6,8.750375
207.79998,8.795666
208.00002,8.841075
208.2,8.88601
208.39998,8.930982
208.60002,8.97624
208.8,9.021527
208.99998,9.066888
209.20002,9.111938
209.4,9.156962
209.59998,9.20232
209.80002,9.247089
210,9.291177
210.19998,9.33476
210.40002,9.376019
210.6,9.415459
210.79998,9.456074
211.00002,9.496287
211.2,9.537105
211.39998,9.575366
211.60002,9.6125
211.8,9.648055
211.99998,9.679673
212.20002,9.711711
212.4,9.744709
212.59998,9.775747
212.80002,9.805676
213,9.828822
213.19998,9.85387
213.40002,9.878258
213.6,9.89672
213.79998,9.909026
214.00002,9.926425
214.2,9.939918
214.39998,9.950768
214.60002,9.957757
214.8,9.962408
214.99998,9.968371
215.20002,9.97319
215.4,9.972269
215.59998,9.970044
215.80002,9.968203
216,9.96096
216.19998,9.955564
216.40002,9.949247
216.6,9.938628
216.79998,9.925604
217.00002,9.912965
217.2,9.901806
217.39998,9.890367
217.60002,9.877642
217.8,9.862896
217.99998,9.845863
218.20002,9.829663
218.4,9.814403
218.59998,9.798005
218.80002,9.7816
219,9.765054
219.19998,9.748713
219.40002,9.731899
219.6,9.715018
219.79998,9.698212
220.00002,9.681435
220.2,9.66463
220.39998,9.647732
220.60002,9.630919
