Time (s),Heat Flow (J/s)
79.39998,14.865191
79.60002,14.854141
79.8,14.843091
79.99998,14.832022
80.20002,14.820992
80.4,14.810062
80.59998,14.799252
80.80002,14.788427
81,14.777657
81.19998,14.766767
81.40002,14.755819
81.6,14.744851
81.79998,14.733823
82.00002,14.722935
82.2,14.712127
82.39998,14.701338
82.60002,14.69057
82.8,14.679921
82.99998,14.669356
83.20002,14.658847
83.4,14.648278
83.59998,14.63757
83.80002,14.626824
84,14.616216
84.19998,14.605787
84.40002,14.595299
84.6,14.58493
84.79998,14.57474
85.00002,14.564749
85.2,14.554762
85.39998,14.544771
85.60002,14.5348
85.8,14.52479
85.99998,14.514701
86.20002,14.504731
86.4,14.4949
86.59998,14.485208
86.80002,14.475596
87,14.466067
87.19998,14.456475
87.40002,14.446943
87.6,14.437511
87.79998,14.428058
88.00002,14.418547
88.2,14.408976
88.39998,14.399389
88.60002,14.389997
88.8,14.380923
88.99998,14.372523
89.20002,14.364303
89.4,14.355944
89.59998,14.347605
89.80002,14.339169
90,14.330711
90.19998,14.322175
90.40002,14.313697
90.6,14.305399
90.79998,14.297123
91.00002,14.289043
91.2,14.281062
91.39998,14.273023
91.60002,14.264983
91.8,14.257025
91.99998,14.249819
92.20002,14.242534
92.4,14.235289
92.59998,14.228559
92.80002,14.221673
93,14.214667
93.19998,14.208077
93.40002,14.201707
93.6,14.195633
93.79998,14.189579
94.00002,14.183466
94.2,14.177374
94.39998,14.17132
94.60002,14.165227
94.8,14.159174
94.99998,14.153083
95.20002,14.14703
95.4,14.141076
95.59998,14.135263
95.80002,14.129528
96,14.123852
96.19998,14.119031
96.40002,14.115894
96.6,14.112064
96.79998,14.107997
97.00002,14.102917
97.2,14.097936
97.39998,14.093293
97.60002,14.088928
97.8,14.084602
97.99998,14.080217
98.20002,14.075972
98.4,14.071844
98.59998,14.06754
98.80002,14.063056
99,14.058711
99.19998,14.054624
99.40002,14.050854
99.6,14.047085
99.79998,14.043792
100.00002,14.040954
100.2,14.038573
100.39998,14.035895
100.60002,14.033177
100.8,14.030281
100.99998,14.027543
101.20002,14.024746
101.4,14.022266
101.59998,14.019667
101.80002,14.017188
102,14.014866
102.19998,14.012585
102.40002,14.010284
102.6,14.007964
102.79998,14.005682
103.00002,14.00356
103.2,14.001437
103.39998,13.999493
103.60002,13.998164
103.8,13.996954
103.99998,13.995506
104.20002,13.994335
104.4,13.993046
104.59998,13.991736
104.80002,13.990328
105,13.98894
105.19998,13.987749
105.40002,13.986659
105.6,13.985548
105.79998,13.984536
106.00002,13.983643
106.2,13.982691
106.39998,13.981679
106.60002,13.980668
106.8,13.979735
106.99998,13.978823
107.20002,13.97791
107.4,13.977018
107.59998,13.976165
107.80002,13.975391
108,13.974935
108.19998,13.974518
108.40002,13.974121
108.6,13.973724
108.79998,13.973347
109.00002,13.97303
109.2,13.97291
109.39998,13.97291
109.60002,13.972929
109.8,13.973088
109.99998,13.973206
110.20002,13.973265
110.4,13.973384
110.59998,13.973601
110.80002,13.973799
111,13.973997
111.19998,13.974294
111.40002,13.974551
111.6,13.974888
111.79998,13.975224
112.00002,13.975462
112.2,13.975739
112.39998,13.976035
112.60002,13.976352
112.8,13.976808
112.99998,13.977322
113.20002,13.977778
113.4,13.978293
113.59998,13.978748
113.80002,13.979382
114,13.980095
114.19998,13.980828
114.40002,13.98164
114.6,13.982571
114.79998,13.983403
115.00002,13.984334
115.2,13.985245
115.39998,13.986235
115.60002,13.987225
115.8,13.988235
115.99998,13.989246
116.20002,13.990315
116.4,13.991404
116.59998,13.992553
116.80002,13.993761
117,13.994989
117.19998,13.996079
117.40002,13.997168
117.6,13.998297
117.79998,13.999545
118.00002,14.000753
118.2,14.00202
118.39998,14.003268
118.60002,14.004535
118.8,14.005802
118.99998,14.00707
119.20002,14.008377
119.4,14.009644
119.59998,14.010912
119.80002,14.012199
120,14.013525
120.19998,14.014832
120.40002,14.016238
120.6,14.017683
120.79998,14.01911
121.00002,14.020555
121.2,14.02198
121.39998,14.023426
121.60002,14.024871
121.8,14.026277
121.99998,14.027663
122.20002,14.029088
122.4,14.030513
122.59998,14.032019
122.80002,14.033503
123,14.035027
123.19998,14.036592
123.40002,14.038136
123.6,14.039699
123.79998,14.041284
124.00002,14.042907
124.2,14.044569
124.39998,14.046213
124.60002,14.047876
124.8,14.049558
124.99998,14.0513
125.20002,14.053003
125.4,14.054705
125.59998,14.056427
125.80002,14.058109
126,14.059812
126.19998,14.061554
126.40002,14.063315
126.6,14.065037
126.79998,14.066779
127.00002,14.06854
127.2,14.070262
127.39998,14.071984
127.60002,14.073686
127.8,14.075387
127.99998,14.07711
128.20002,14.078811
128.4,14.080552
128.59998,14.082275
128.80002,14.083996
129,14.085737
129.19998,14.087519
129.40002,14.089339
129.6,14.091159
129.79998,14.09298
130.00002,14.09482
130.2,14.09666
130.39998,14.098481
130.60002,14.100301
130.8,14.102121
130.99998,14.104001
131.20002,14.105821
131.4,14.107661
131.59998,14.109442
131.80002,14.111222
132,14.113082
132.19998,14.11506
132.40002,14.117078
132.6,14.119056
132.79998,14.120896
133.00002,14.122815
133.2,14.124753
133.39998,14.126791
133.60002,14.128829
133.8,14.130826
133.99998,14.132686
134.20002,14.134505
134.4,14.136285
134.59998,14.137888
134.80002,14.13937
135,14.140635
