Time (s),Heat Flow (J/s)
146.4,20.47472
146.59998,20.474728
146.80002,20.474791
147,20.474853
147.19998,20.474896
147.40002,20.474978
147.6,20.47504
147.79998,20.475102
148.00002,20.475183
148.2,20.475263
148.39998,20.475343
148.60002,20.475443
148.8,20.475541
148.99998,20.475622
149.20002,20.475703
149.4,20.475784
149.59998,20.475846
149.80002,20.47591
150,20.475973
150.19998,20.476035
150.40002,20.476081
150.6,20.476108
150.79998,20.476117
151.00002,20.476163
151.2,20.476208
151.39998,20.476199
151.60002,20.476227
151.8,20.4762
151.99998,20.476173
152.20002,20.476166
152.4,20.476175
152.59998,20.476202
152.80002,20.476213
153,20.476204
153.19998,20.476177
153.40002,20.476116
153.6,20.476108
153.79998,20.476045
154.00002,20.476002
154.2,20.475922
154.39998,20.475878
154.60002,20.475799
154.8,20.475736
154.99998,20.475638
155.20002,20.475577
155.4,20.475498
155.59998,20.475436
155.80002,20.475375
156,20.475313
156.19998,20.475269
156.40002,20.475245
156.6,20.475183
156.79998,20.475121
157.00002,20.475025
157.2,20.474927
157.39998,20.47483
157.60002,20.47477
157.8,20.47469
157.99998,20.474593
158.20002,20.474497
158.4,20.474436
158.59998,20.474357
158.80002,20.474332
159,20.474308
159.19998,20.474337
159.40002,20.47433
159.6,20.474306
159.79998,20.474281
160.00002,20.474257
160.2,20.474232
160.39998,20.474226
160.60002,20.474184
160.8,20.47416
160.99998,20.474153
161.20002,20.474112
161.4,20.474087
161.59998,20.474063
161.80002,20.47404
162,20.473997
162.19998,20.473955
162.40002,20.473914
162.6,20.473872
162.79998,20.473848
163.00002,20.473789
163.2,20.473765
163.39998,20.473723
163.60002,20.473682
163.8,20.473622
163.99998,20.473563
164.20002,20.47345
164.4,20.473354
164.59998,20.473259
164.80002,20.473146
165,20.473015
165.19998,20.472901
165.40002,20.472789
165.6,20.47264
165.79998,20.472508
166.00002,20.472359
166.2,20.472193
166.39998,20.47199
166.60002,20.471824
166.8,20.471693
166.99998,20.471562
167.20002,20.471323
167.4,20.471139
167.59998,20.470955
167.80002,20.470789
168,20.470658
168.19998,20.470474
168.40002,20.470325
168.6,20.470177
168.79998,20.470065
169.00002,20.469899
169.2,20.469751
169.39998,20.469639
169.60002,20.469545
169.8,20.469433
169.99998,20.469303
170.20002,20.469138
170.4,20.469008
