Wavelength (nm),10.0 ppm,5.00 ppm,1.00 ppm,unknown
591,0.542,0.271,0.054,0.370
592,0.553,0.277,0.055,0.377
593,0.564,0.282,0.056,0.384
594,0.574,0.287,0.057,0.391
595,0.585,0.293,0.059,0.399
596,0.597,0.298,0.060,0.406
597,0.607,0.304,0.061,0.414
598,0.619,0.309,0.062,0.422
599,0.631,0.315,0.063,0.430
600,0.643,0.321,0.064,0.438
601,0.655,0.327,0.065,0.446
602,0.668,0.334,0.067,0.455
603,0.681,0.341,0.068,0.464
604,0.695,0.347,0.069,0.473
605,0.709,0.354,0.071,0.483
606,0.724,0.362,0.072,0.493
607,0.739,0.370,0.074,0.504
608,0.755,0.377,0.075,0.514
609,0.771,0.385,0.077,0.525
610,0.787,0.393,0.079,0.536
611,0.803,0.402,0.080,0.547
612,0.820,0.410,0.082,0.558
613,0.835,0.418,0.084,0.569
614,0.852,0.426,0.085,0.581
615,0.867,0.434,0.087,0.591
616,0.882,0.441,0.088,0.601
617,0.896,0.448,0.090,0.611
618,0.910,0.455,0.091,0.620
619,0.923,0.461,0.092,0.629
620,0.936,0.468,0.094,0.638
621,0.946,0.473,0.095,0.645
622,0.957,0.478,0.096,0.652
623,0.966,0.483,0.097,0.659
624,0.975,0.488,0.098,0.664
625,0.982,0.491,0.098,0.669
626,0.989,0.494,0.099,0.674
627,0.994,0.497,0.099,0.677
628,0.997,0.499,0.100,0.679
629,0.999,0.500,0.100,0.681
630,1.000,0.500,0.100,0.681
631,1.000,0.500,0.100,0.681
632,0.999,0.500,0.100,0.681
633,0.995,0.498,0.100,0.678
634,0.991,0.495,0.099,0.675
635,0.985,0.492,0.098,0.671
636,0.977,0.489,0.098,0.666
637,0.968,0.484,0.097,0.659
638,0.957,0.478,0.096,0.652
639,0.944,0.472,0.094,0.643
640,0.929,0.465,0.093,0.633
641,0.914,0.457,0.091,0.623
642,0.896,0.448,0.090,0.611
643,0.877,0.438,0.088,0.597
644,0.855,0.428,0.086,0.583
645,0.832,0.416,0.083,0.567
646,0.808,0.404,0.081,0.550
647,0.781,0.391,0.078,0.532
648,0.753,0.377,0.075,0.513
649,0.725,0.362,0.072,0.494
650,0.694,0.347,0.069,0.473
651,0.663,0.331,0.066,0.452
652,0.632,0.316,0.063,0.430
653,0.599,0.299,0.060,0.408
654,0.565,0.283,0.057,0.385
655,0.532,0.266,0.053,0.362
656,0.499,0.249,0.050,0.340
657,0.465,0.232,0.046,0.317
658,0.432,0.216,0.043,0.294
659,0.400,0.200,0.040,0.272
660,0.368,0.184,0.037,0.251
661,0.338,0.169,0.034,0.230
662,0.309,0.154,0.031,0.210
663,0.281,0.141,0.028,0.192
664,0.255,0.128,0.026,0.174
665,0.231,0.115,0.023,0.157
666,0.207,0.104,0.021,0.141
667,0.186,0.093,0.019,0.127
668,0.166,0.083,0.017,0.113
669,0.148,0.074,0.015,0.101
670,0.132,0.066,0.013,0.090
671,0.118,0.059,0.012,0.080
672,0.104,0.052,0.010,0.071
673,0.092,0.046,0.009,0.063
674,0.082,0.041,0.008,0.056
675,0.073,0.037,0.007,0.050
676,0.065,0.032,0.006,0.044
677,0.058,0.029,0.006,0.039
678,0.051,0.026,0.005,0.035
679,0.046,0.023,0.005,0.031
680,0.041,0.020,0.004,0.028
681,0.036,0.018,0.004,0.025
682,0.032,0.016,0.003,0.022
683,0.029,0.014,0.003,0.020
684,0.026,0.013,0.003,0.018
685,0.023,0.012,0.002,0.016
686,0.021,0.010,0.002,0.014
687,0.018,0.009,0.002,0.013
688,0.016,0.008,0.002,0.011
689,0.015,0.007,0.001,0.010
690,0.013,0.007,0.001,0.009
691,0.012,0.006,0.001,0.008
692,0.011,0.005,0.001,0.007
693,0.010,0.005,0.001,0.007
694,0.009,0.004,0.001,0.006
695,0.008,0.004,0.001,0.005
696,0.007,0.004,0.001,0.005
697,0.006,0.003,0.001,0.004
698,0.006,0.003,0.001,0.004
699,0.005,0.003,0.001,0.004
700,0.005,0.002,0.000,0.003
701,0.004,0.002,0.000,0.003
702,0.004,0.002,0.000,0.003
703,0.003,0.002,0.000,0.002
704,0.003,0.002,0.000,0.002
705,0.003,0.001,0.000,0.002
706,0.003,0.001,0.000,0.002
707,0.003,0.001,0.000,0.002
