Path,File,Date Acquired,Sample,Misc
C:\Users\vvannost\Documents\,Pain01.d,9/28/2020 13:52,Mixture, 
TIC: Pain01.d\data.ms,,,,
7.003,30515,,,
7.009,26646,,,
7.014,32292,,,
7.02,29781,,,
7.025,30030,,,
7.031,31827,,,
7.036,26451,,,
7.042,30223,,,
7.047,30203,,,
7.053,31429,,,
7.058,28567,,,
7.064,28195,,,
7.069,29999,,,
7.075,27577,,,
7.08,31471,,,
7.086,35738,,,
7.091,36376,,,
7.097,31851,,,
7.102,30758,,,
7.108,37063,,,
7.113,31471,,,
7.119,29302,,,
7.124,29999,,,
7.13,31892,,,
7.135,33185,,,
7.141,31988,,,
7.146,32585,,,
7.152,32252,,,
7.157,32613,,,
7.163,28900,,,
7.168,30037,,,
7.174,28279,,,
7.179,33141,,,
7.185,27878,,,
7.191,28836,,,
7.196,31332,,,
7.202,28310,,,
7.207,28923,,,
7.213,33246,,,
7.218,29841,,,
7.224,34155,,,
7.229,28434,,,
7.235,30901,,,
7.24,34872,,,
7.246,32965,,,
7.251,31377,,,
7.257,29477,,,
7.262,32263,,,
7.268,28696,,,
7.273,32321,,,
7.279,28413,,,
7.284,25038,,,
7.29,28584,,,
7.295,27931,,,
7.301,31932,,,
7.306,31326,,,
7.312,32301,,,
7.317,32265,,,
7.323,29828,,,
7.328,28972,,,
7.334,26380,,,
7.339,32320,,,
7.345,27785,,,
7.35,33310,,,
7.356,29551,,,
7.361,29169,,,
7.367,27817,,,
7.372,28964,,,
7.378,32185,,,
7.383,30492,,,
7.389,30880,,,
7.394,31124,,,
7.4,27838,,,
7.405,31495,,,
7.411,29990,,,
7.416,36413,,,
7.422,28880,,,
7.427,29657,,,
7.433,28848,,,
7.438,29524,,,
7.444,31224,,,
7.449,26842,,,
7.455,29393,,,
7.46,29835,,,
7.466,30839,,,
7.471,30245,,,
7.477,23205,,,
7.482,25498,,,
7.488,29852,,,
7.493,28290,,,
7.499,25144,,,
7.504,27360,,,
7.51,31240,,,
7.515,26943,,,
7.521,26494,,,
7.526,30281,,,
7.532,29369,,,
7.537,35453,,,
7.543,27431,,,
7.548,25738,,,
7.554,31897,,,
7.559,30556,,,
7.565,27449,,,
7.57,29166,,,
7.576,28848,,,
7.581,26846,,,
7.587,24636,,,
7.592,25205,,,
7.598,30619,,,
7.603,32911,,,
7.609,28725,,,
7.614,29720,,,
7.62,25148,,,
7.625,30692,,,
7.631,26815,,,
7.636,30962,,,
7.642,30060,,,
7.647,32693,,,
7.653,27136,,,
7.658,29108,,,
7.664,30846,,,
7.669,26097,,,
7.675,30168,,,
7.68,30503,,,
7.686,27751,,,
7.691,25211,,,
7.697,31031,,,
7.702,32163,,,
7.708,24545,,,
7.713,28482,,,
7.719,25617,,,
7.724,27667,,,
7.73,28023,,,
7.735,25843,,,
7.741,26611,,,
7.746,28575,,,
7.752,30301,,,
7.757,30044,,,
7.763,29148,,,
7.768,28827,,,
7.774,27836,,,
7.779,29304,,,
7.785,30403,,,
7.79,29160,,,
7.796,30701,,,
7.801,29708,,,
7.807,29211,,,
7.812,32253,,,
7.818,33002,,,
7.823,29221,,,
7.829,34045,,,
7.834,28780,,,
7.84,27193,,,
7.845,31078,,,
7.851,27550,,,
7.856,30542,,,
7.862,34557,,,
7.867,27129,,,
7.873,27053,,,
7.878,26071,,,
7.884,31204,,,
7.889,32106,,,
7.895,34762,,,
7.9,33957,,,
7.906,27975,,,
7.911,30277,,,
7.917,29806,,,
7.922,28878,,,
7.928,26992,,,
7.933,30624,,,
7.939,29230,,,
7.944,24363,,,
7.95,29490,,,
7.955,29421,,,
7.961,28857,,,
7.966,26888,,,
7.972,26593,,,
7.977,29111,,,
7.983,26848,,,
7.988,31602,,,
7.994,34312,,,
7.999,36157,,,
8.005,31426,,,
8.01,31046,,,
8.016,29669,,,
8.021,33920,,,
8.027,28397,,,
8.032,34178,,,
8.038,27902,,,
8.043,32293,,,
8.049,30030,,,
8.054,28460,,,
8.06,33877,,,
8.065,37493,,,
8.071,36670,,,
8.076,32219,,,
8.082,32312,,,
8.087,28940,,,
8.093,36983,,,
8.098,29715,,,
8.104,27041,,,
8.109,27592,,,
8.115,27421,,,
8.12,27596,,,
8.126,29236,,,
8.131,30316,,,
8.137,32443,,,
8.142,31640,,,
8.148,31788,,,
8.153,31445,,,
8.159,31276,,,
8.164,29343,,,
8.17,29910,,,
8.175,29598,,,
8.181,28337,,,
8.186,27880,,,
8.192,37071,,,
8.197,30626,,,
8.203,29649,,,
8.208,30755,,,
8.214,29741,,,
8.219,31402,,,
8.225,27609,,,
8.23,31914,,,
8.236,32853,,,
8.241,30949,,,
8.247,36824,,,
8.252,28684,,,
8.258,28043,,,
8.263,34555,,,
8.269,31558,,,
8.274,30810,,,
8.28,37668,,,
8.285,32248,,,
8.291,32265,,,
8.296,31789,,,
8.302,35550,,,
8.307,32758,,,
8.313,28641,,,
8.318,30667,,,
8.324,28230,,,
8.329,30174,,,
8.335,29696,,,
8.34,31313,,,
8.346,29305,,,
8.351,29899,,,
8.357,34744,,,
8.362,31660,,,
8.368,32171,,,
8.373,32535,,,
8.379,31611,,,
8.384,31814,,,
8.39,31405,,,
8.395,31353,,,
8.401,29752,,,
8.406,33019,,,
8.412,36054,,,
8.417,31670,,,
8.423,32132,,,
8.428,31852,,,
8.434,31556,,,
8.439,36040,,,
8.445,34390,,,
8.45,32102,,,
8.456,33880,,,
8.461,34509,,,
8.467,32525,,,
8.472,34573,,,
8.478,36715,,,
8.483,31190,,,
8.489,32913,,,
8.495,32238,,,
8.5,33115,,,
8.505,32395,,,
8.511,32248,,,
8.517,30648,,,
8.522,28626,,,
8.527,36801,,,
8.533,31538,,,
8.539,33522,,,
8.544,28627,,,
8.55,35888,,,
8.555,35999,,,
8.561,41269,,,
8.566,37477,,,
8.572,36451,,,
8.577,35886,,,
8.583,32881,,,
8.588,33329,,,
8.594,34613,,,
8.599,33831,,,
8.605,33516,,,
8.61,38305,,,
8.616,32222,,,
8.621,34105,,,
8.627,33587,,,
8.632,29040,,,
8.638,31244,,,
8.643,31107,,,
8.649,34949,,,
8.654,35042,,,
8.66,35994,,,
8.665,33534,,,
8.671,35650,,,
8.676,34064,,,
8.682,32759,,,
8.687,33528,,,
8.693,32377,,,
8.698,34203,,,
8.704,31467,,,
8.709,39236,,,
8.715,35139,,,
8.72,41845,,,
8.726,35719,,,
8.731,29411,,,
8.737,37902,,,
8.742,34823,,,
8.748,35452,,,
8.753,37933,,,
8.759,35924,,,
8.764,41190,,,
8.77,37224,,,
8.775,38855,,,
8.781,35596,,,
8.786,45334,,,
8.792,37556,,,
8.797,40846,,,
8.803,45114,,,
8.808,41097,,,
8.814,37811,,,
8.819,44527,,,
8.825,40750,,,
8.83,41389,,,
8.836,43799,,,
8.841,42152,,,
8.847,44129,,,
8.852,47356,,,
8.858,47172,,,
8.863,44966,,,
8.869,45582,,,
8.874,49461,,,
8.88,49272,,,
8.885,47279,,,
8.891,50443,,,
8.896,48147,,,
8.902,48843,,,
8.907,45670,,,
8.913,49828,,,
8.918,48753,,,
8.924,52519,,,
8.929,50925,,,
8.935,49584,,,
8.94,50680,,,
8.946,47686,,,
8.951,50754,,,
8.957,48087,,,
8.962,50018,,,
8.968,50583,,,
8.973,58032,,,
8.979,56650,,,
8.984,51520,,,
8.99,54439,,,
8.995,54804,,,
9.001,55244,,,
9.006,55245,,,
9.012,52667,,,
9.017,58406,,,
9.023,52306,,,
9.028,56242,,,
9.034,54818,,,
9.039,53732,,,
9.045,59195,,,
9.05,55804,,,
9.056,56199,,,
9.061,57931,,,
9.067,57187,,,
9.072,53175,,,
9.078,56843,,,
9.083,56960,,,
9.089,55008,,,
9.094,53365,,,
9.1,53798,,,
9.105,53096,,,
9.111,51429,,,
9.116,51621,,,
9.122,51222,,,
9.127,53077,,,
9.133,48651,,,
9.138,48384,,,
9.144,55265,,,
9.149,46864,,,
9.155,48273,,,
9.16,49630,,,
9.166,48057,,,
9.171,53482,,,
9.177,48036,,,
9.182,50643,,,
9.188,53687,,,
9.193,47187,,,
9.199,41611,,,
9.204,48757,,,
9.21,43546,,,
9.215,48069,,,
9.221,51726,,,
9.226,51057,,,
9.232,52088,,,
9.237,48251,,,
9.243,50079,,,
9.248,46839,,,
9.254,54206,,,
9.259,49983,,,
9.265,47236,,,
9.27,60650,,,
9.276,47345,,,
9.281,45390,,,
9.287,51780,,,
9.292,45367,,,
9.298,52563,,,
9.303,45616,,,
9.309,52485,,,
9.314,51152,,,
9.32,48845,,,
9.325,45844,,,
9.331,51954,,,
9.336,46736,,,
9.342,48656,,,
9.347,47490,,,
9.353,50590,,,
9.358,51938,,,
9.364,48237,,,
9.369,47594,,,
9.375,43946,,,
9.38,43243,,,
9.386,50021,,,
9.391,44623,,,
9.397,52949,,,
9.402,49694,,,
9.408,49171,,,
9.413,46922,,,
9.419,49944,,,
9.424,50379,,,
9.43,47873,,,
9.435,48320,,,
9.441,48112,,,
9.446,44506,,,
9.452,45169,,,
9.457,48698,,,
9.463,51720,,,
9.468,49677,,,
9.474,45076,,,
9.479,46164,,,
9.485,47521,,,
9.49,45634,,,
9.496,44177,,,
9.501,44537,,,
9.507,45216,,,
9.512,50857,,,
9.518,43814,,,
9.523,53583,,,
9.529,71198,,,
9.534,125060,,,
9.54,214773,,,
9.545,351824,,,
9.551,674596,,,
9.556,1024958,,,
9.562,1712015,,,
9.567,2826028,,,
9.573,4294995,,,
9.578,3709961,,,
9.584,922681,,,
9.589,258324,,,
9.595,146958,,,
9.6,113733,,,
9.606,105783,,,
9.611,107612,,,
9.617,108449,,,
9.622,117666,,,
9.628,114712,,,
9.633,98479,,,
9.639,84958,,,
9.644,80340,,,
9.65,76402,,,
9.655,67658,,,
9.661,72460,,,
9.666,68564,,,
9.672,62425,,,
9.677,68539,,,
9.683,61630,,,
9.688,59037,,,
9.694,62292,,,
9.699,51059,,,
9.705,66766,,,
9.71,63688,,,
