Wavelength (nm),Absorbance (AU)
1000,-0.02744627
1001,-0.027287483
1002,-0.027663708
1003,-0.027423382
1004,-0.028228283
1005,-0.027650356
1006,-0.027871609
1007,-0.028425694
1008,-0.028543949
1009,-0.027929306
1010,-0.028194427
1011,-0.028360367
1012,-0.027871609
1013,-0.028652191
1014,-0.028595448
1015,-0.027837753
1016,-0.029459953
1017,-0.028656006
1018,-0.028036118
1019,-0.027984619
1020,-0.029212475
1021,-0.028799534
1022,-0.029446125
1023,-0.029712677
1024,-0.029164791
1025,-0.02986908
1026,-0.03030777
1027,-0.029911518
1028,-0.029736996
1029,-0.030254841
1030,-0.029546261
1031,-0.030116558
1032,-0.0291605
1033,-0.029065609
1034,-0.029416561
1035,-0.02892971
1036,-0.030501366
1037,-0.031123161
1038,-0.030073166
1039,-0.030891418
1040,-0.030561924
1041,-0.030730724
1042,-0.031024933
1043,-0.032312393
1044,-0.032187939
1045,-0.03153801
1046,-0.0321908
1047,-0.030966759
1048,-0.029745102
1049,-0.031195641
1050,-0.031692505
1051,-0.031497002
1052,-0.030920506
1053,-0.03213501
1054,-0.032145977
1055,-0.032494545
1056,-0.031237602
1057,-0.032968044
1058,-0.031455994
1059,-0.0312953
1060,-0.032640934
1061,-0.034826279
1062,-0.034430027
1063,-0.032045841
1064,-0.031181335
1065,-0.028875828
1066,-0.035973549
1067,-0.034104824
1068,-0.030479908
1069,-0.031544685
1070,-0.034022808
1071,-0.033210754
1072,-0.032981396
1073,-0.031552792
1074,-0.038780212
1075,-0.033132553
1076,-0.035798073
1077,-0.033420086
1078,-0.033572674
1079,-0.030868053
1080,-0.031465054
1081,-0.035518169
1082,-0.036356926
1083,-0.034582615
1084,-0.033757687
1085,-0.03126812
1086,-0.033217907
1087,-0.032948971
1088,-0.033440113
1089,-0.036435604
1090,-0.032509327
1091,-0.026946545
1092,-0.035371304
1093,-0.038050652
1094,-0.031715393
1095,-0.034084797
1096,-0.033383369
1097,-0.028271675
1098,-0.03619194
1099,-0.03340435
1100,-0.037591457
